Velocity(m/s)	Chord(mm)
0.093186	0.307979
0.065643	0.102731
0.142146	0.611940
0.143213	0.574998
0.095129	0.253518
0.082758	0.179586
0.109726	0.210675
0.077897	0.121519
0.111960	0.628098
0.100850	0.321711
0.076871	0.181799
0.285878	2.557182
0.059985	0.114272
0.098314	0.173524
0.148176	0.317096
0.075209	0.138385
0.171099	0.520997
0.193188	0.481039
0.091341	0.198209
0.099717	0.309622
0.087988	0.172897
0.113309	0.427175
0.075775	0.156096
0.073323	0.156545
0.096519	0.184834
0.205807	1.344948
0.039471	0.133412
0.037607	0.155503
0.104720	0.209440
0.118615	0.265106
0.089040	0.134451
0.101204	0.315249
0.074889	0.175614
0.091376	0.263621
0.090727	0.209580
0.101923	0.160019
0.155091	0.390053
0.134904	0.294765
0.094339	0.283488
0.103444	0.169647
0.125976	0.364071
0.122675	0.213454
0.070192	0.154072
0.161838	0.250040
0.140948	0.190279
0.132753	0.168596
0.194561	0.202343
0.323237	1.228300
0.143181	0.339338
0.087869	0.137954
0.111344	0.181490
0.086137	0.151171
0.114713	0.155437
0.074575	0.173759
0.166625	0.295759
0.150120	0.316753
0.132276	0.228837
0.097757	0.215065
0.266309	1.247655
0.114791	0.228433
0.168849	0.450826
0.118794	0.193634
0.159301	0.467549
0.243271	1.390294
0.127428	0.221725
0.127716	0.178802
0.077183	0.092234
0.104958	0.152714
0.153229	0.329443
0.088433	0.118943
0.201410	0.384693
0.093107	0.133142
0.283380	0.841639
0.177175	0.356122
0.085719	0.097291
0.097157	0.189942
0.066853	0.172146
0.184453	0.410409
0.093155	0.139267
0.062463	0.114932
0.095392	0.134980
0.127509	0.415679
0.064507	0.127401
0.126471	0.371193
0.083807	0.143728
0.076395	0.128344
0.180497	0.985514
0.137014	0.311021
0.080364	0.120948
0.099465	0.116871
0.076326	0.145400
0.068343	0.181450
0.067415	0.106853
0.109600	0.230708
0.131746	0.442668
0.115583	0.194180
0.093751	0.246095
0.031664	0.080109
0.167321	0.465151
0.169718	0.719606
0.104147	0.361390
0.107467	0.266517
0.076185	0.271599
0.162794	0.339426
0.107873	0.192015
0.112752	0.134739
0.170268	0.127701
0.175963	0.418792
0.148392	0.238911
0.126422	0.262326
0.187923	0.706589
0.088022	0.209052
0.116904	0.251344
0.099933	0.108927
0.228293	0.640361
0.086414	0.144744
0.089565	0.220778
0.099916	0.155869
0.125146	0.381068
0.168850	0.358806
0.169348	0.340390
0.090597	0.097845
0.103545	0.221585
0.077928	0.141049
0.107639	0.176527
0.074800	0.175780
0.135289	0.158288
0.290251	0.359912
0.251822	0.552750
0.315343	0.764708
0.379459	1.115609
0.111782	0.129668
0.095559	0.161973
0.126042	0.156293
0.288037	1.178070
0.108210	0.192615
0.168105	0.334529
0.112238	0.171724
0.186937	0.462669
0.157605	0.279750
0.153984	0.113948
0.235242	0.277585
0.376597	0.551715
0.266201	0.154397
0.276770	1.396303
0.158288	0.129005
0.305840	0.574979
0.149587	0.182496
0.212225	0.889222
0.116547	0.170158
0.108301	0.168409
0.124438	0.138749
0.348961	0.799120
0.343114	0.912683
0.158347	0.174181
0.282921	0.587061
0.238657	0.168253
0.233198	0.381279
0.137070	0.187100
0.322540	0.398337
0.266356	0.609954
0.121650	0.271280
0.151075	0.294596
0.111555	0.231477
0.075127	0.093909
0.060468	0.101284
0.113231	0.281945
0.275429	2.306722
0.145741	0.233186
0.079883	0.143389
0.103479	0.219375
0.129190	0.292616
0.219039	0.388795
0.115822	0.176628
0.118915	0.156373
0.111053	0.129932
0.165119	0.219608
0.322360	1.226579
0.213408	0.372397
0.214785	0.505819
0.174574	0.447782
0.154102	0.194939
0.269572	0.975850
0.164690	0.326086
0.161961	0.212169
0.156722	0.357326
0.311231	1.181123
0.114300	0.182880
0.191607	0.455067
0.106893	0.175839
0.116423	0.187440
0.169682	0.337668
0.255158	0.810125
0.156451	0.346540
0.114920	0.284428
0.174989	0.509217
0.104638	0.131321
0.098362	0.211478
0.110260	0.180826
0.099491	0.160679
0.121748	0.371941
0.059930	0.139037
0.093763	0.196434
0.191931	0.331080
0.137403	0.334575
0.135823	0.216638
0.081083	0.104191
0.185786	0.259171
0.299307	0.710855
0.144876	0.233250
0.144833	0.217973
0.115178	0.198106
0.150389	0.233102
0.136991	0.315765
0.126837	0.170596
0.226543	0.317160
0.413617	1.739261
0.301050	0.772192
0.165438	0.210933
0.109687	0.091589
0.120568	0.138051
0.111606	0.127230
0.116831	0.144870
0.204526	0.356898
0.261755	0.502569
0.334834	1.237213
0.123353	0.274461
0.138975	0.187617
0.170336	0.385812
0.130358	0.402155
0.155538	0.241861
0.155686	0.224966
0.215838	0.342103
0.118230	0.163748
0.094804	0.165907
0.183928	0.362339
0.305988	0.809339
0.192488	0.333967
0.287206	0.710835
0.153077	0.169150
0.243323	0.318753
0.131934	0.136551
0.288403	0.709470
0.201359	0.306066
0.183875	0.327297
0.236946	0.412286
0.299464	0.612404
0.185147	0.342522
0.284519	0.385524
0.146265	0.166742
0.147079	0.174289
0.138845	0.195077
0.237369	0.312140
0.137663	0.134221
0.108370	0.139798
0.145274	0.169244
0.061876	0.077655
0.188771	0.184996
0.136653	0.201563
0.256815	1.734787
0.267969	0.545317
0.128250	0.166084
0.083636	0.173545
0.246382	0.831539
0.179435	0.249414
0.132598	0.283097
0.222384	0.346919
0.179512	0.364410
0.184085	0.354363
0.084442	0.261769
0.066039	0.086182
0.178503	0.541756
0.130191	0.171201
0.121646	0.385008
0.094307	0.173053
0.055699	0.312469
0.241969	0.644847
0.122577	0.336473
0.115086	0.197372
0.100814	0.195076
0.087670	0.129751
0.165297	0.188439
0.182654	0.429237
0.151802	0.337000
0.129825	0.231738
0.057747	0.124156
0.073442	0.096576
0.074482	0.184343
0.143643	0.311706
0.099387	0.176910
0.147574	0.231692
0.160491	0.390797
0.092536	0.087909
0.167614	0.421550
0.181379	0.563182
0.096796	0.164553
0.204900	0.356526
0.210253	0.279637
0.197792	0.609199
0.106491	0.181568
0.138445	0.784981
0.130677	0.236525
0.168597	0.317806
0.093137	0.196054
0.116958	0.271344
0.123375	0.305354
0.150834	1.041512
0.045051	0.238317
0.106273	0.122214
0.137464	0.207570
0.130377	0.412642
0.146524	0.209529
0.144857	0.147754
0.177007	0.170812
0.361779	1.041924
0.489585	1.919172
0.351903	0.825213
0.237768	0.240145
0.304576	0.260412
0.165277	0.110736
0.446385	1.319067
0.304971	0.320220
0.259294	0.234661
0.251899	0.525209
0.290023	0.323376
0.243764	0.482653
0.304925	0.426895
0.314999	0.637873
0.226600	0.135960
0.416934	0.783836
0.152246	0.151485
0.303107	0.491034
0.351617	0.692685
0.223901	0.325777
0.226902	0.255264
0.167334	0.251837
0.251753	0.333572
0.195926	0.140087
0.104051	0.124862
0.353983	0.594691
0.152825	0.087110
0.217371	0.299972
0.128330	0.143730
0.238814	0.448971
0.241416	0.533529
0.229138	0.436508
0.142757	0.274093
0.118543	0.170109
0.128802	0.162934
0.130888	0.579833
0.150421	0.103790
0.153641	0.331865
0.118411	0.126700
0.235229	0.525736
0.120801	0.109929
0.079675	0.074097
0.155304	0.152198
0.129314	0.087287
0.109632	0.282302
0.055419	0.233866
0.084630	0.189995
0.075442	0.141077
0.132407	0.142338
0.114320	0.196058
0.087244	0.111672
0.129066	0.327828
0.079357	0.136097
0.088827	0.135461
0.086892	0.152929
0.082299	0.111926
0.164462	0.221201
0.083187	0.142665
0.153934	0.238598
0.087217	0.170509
0.098818	0.238646
0.068544	0.137088
0.056193	0.294731
0.071287	0.182495
0.164307	0.388586
0.081771	0.111208
0.153961	0.295604
0.251959	1.953944
0.112758	0.204092
0.078310	0.149963
0.094020	0.167356
0.074157	0.221731
0.104843	0.847129
0.234869	2.388615
0.175178	0.548306
0.106552	0.195522
0.099460	0.162120
0.077462	0.157635
0.202299	0.667585
