Velocity(m/s)	Chord(mm)
0.094329	0.232992
0.229025	0.659592
0.168744	0.182244
0.256692	0.297762
0.184752	0.275280
0.100801	0.117937
0.148431	0.115034
0.128966	0.157339
0.119207	0.110863
0.288263	0.739395
0.222559	0.423975
0.130135	0.154861
0.120457	0.328245
0.315864	2.335815
0.061348	0.126070
0.155440	0.436786
0.241537	0.542251
0.098932	0.147903
0.127178	0.254355
0.091513	0.139558
0.095164	0.119907
0.127141	0.106163
0.226540	0.216346
0.135852	0.214646
0.134501	0.108946
0.158437	0.125958
0.138822	0.140904
0.119098	0.170311
0.093101	0.122893
0.104015	0.365092
0.077307	0.260136
0.097007	0.206140
0.138237	0.105060
0.147621	0.304100
0.138295	0.140370
0.254638	1.419607
0.141688	0.429315
0.235420	0.436704
0.152817	0.489777
0.117195	0.207436
0.122727	0.126409
0.156592	0.119010
0.134768	0.180589
0.128990	0.143179
0.146109	0.555943
0.095209	0.136625
0.049883	0.368134
0.103152	0.463152
0.037777	0.171695
0.167953	1.054744
0.128030	0.182443
0.091962	0.171050
0.105804	0.100514
0.254110	0.758520
0.175133	0.152365
0.116839	0.221994
0.306962	0.586297
0.137179	0.296307
0.116888	0.165981
0.131493	0.216964
0.093409	0.256875
0.186425	0.384967
0.165205	0.175943
0.132041	0.180236
0.168932	0.202719
0.137004	0.128784
0.156833	0.157617
0.186898	0.196243
0.244733	0.496809
0.324539	0.285594
0.170507	0.213133
0.258428	0.412192
0.179825	0.179825
0.201394	0.229589
0.155235	0.196372
0.212604	0.229612
0.209774	0.681767
0.114718	0.230583
0.100999	0.188363
0.165189	0.220528
0.203718	0.196588
0.197905	0.524448
0.296654	0.787616
0.204098	0.252061
0.268140	1.080605
0.216652	0.814613
0.161537	0.209999
0.177132	0.224072
0.247949	0.694257
0.202413	0.306656
0.138774	0.142244
0.084584	0.132374
0.284987	1.511856
0.157547	0.185905
0.193140	0.216317
0.070648	0.139530
0.062445	0.321278
0.134784	0.161067
0.193291	0.166231
0.074877	0.097714
0.081944	0.186422
0.341560	0.831699
0.255231	0.391779
0.187892	0.234865
0.223770	0.206987
0.138044	0.144947
0.164720	0.281671
0.117446	0.107463
0.110358	0.226787
0.083087	0.408787
0.109875	0.142288
0.153092	0.116350
0.152140	0.241142
0.120153	0.129165
0.157169	0.128093
0.142221	0.151466
0.245659	0.246887
0.141093	0.131922
0.200921	0.192885
0.235276	0.343503
0.210691	0.549903
0.134346	0.106805
0.300598	0.174347
0.265630	0.609622
0.375898	0.152239
0.253362	0.324304
0.266427	0.229127
0.132164	0.135468
0.138742	0.260835
0.134047	0.245305
0.201309	0.306995
0.183249	0.156678
0.217147	0.209547
0.306493	0.783089
0.574185	2.609671
0.253573	0.422199
0.184546	0.149482
0.184088	0.145429
0.353833	0.835047
0.135932	0.127096
0.243779	0.225495
0.255000	0.306000
0.187932	0.203906
0.176142	0.208728
0.188303	0.225022
0.289693	0.291142
0.265470	0.200430
0.365444	0.146178
0.498027	0.575221
0.283396	0.222466
0.266845	0.170781
0.453868	0.692148
0.352034	0.480526
0.319905	0.382287
0.335963	0.700482
0.179749	0.135710
0.230013	0.165609
0.156230	0.221847
0.121376	0.142010
0.146026	0.272338
0.126748	0.238287
0.111278	0.201970
0.169915	0.365317
0.111302	0.122432
0.198447	0.295685
0.210949	0.350176
0.187755	0.264735
0.130129	0.206255
0.116316	0.186105
0.091384	0.134792
0.119769	0.178456
0.143127	0.408627
0.116896	0.230870
0.089602	0.124546
0.097977	0.222898
0.129513	0.165777
0.113284	0.291140
0.151298	0.170210
0.308284	0.332947
0.212544	0.132840
0.264731	0.464603
0.171829	0.170111
0.127738	0.197355
0.188836	0.317244
0.188563	0.317728
0.148201	0.210446
0.201899	0.298810
0.181835	0.234568
0.125401	0.334822
0.078667	0.192733
0.056907	0.264333
0.143462	0.121226
0.197485	0.152064
0.186044	0.407435
