Velocity(m/s)	Chord(mm)
0.147301	0.209903
0.141638	0.160759
0.248018	0.168652
0.227779	0.184501
0.256987	0.176036
0.218701	0.270095
0.225013	0.334145
0.359884	0.482244
0.346942	0.579393
0.166840	0.141814
0.234679	0.179529
0.251020	0.335112
0.257297	0.707568
0.216794	0.277496
0.134554	0.170211
0.121070	0.185238
0.140991	0.168484
0.188399	0.398464
0.217265	0.291135
0.255760	0.342718
0.174682	0.117910
0.348426	0.770021
0.322254	0.570390
0.263606	0.286012
0.266972	0.563312
0.302793	0.495067
0.307726	0.458511
0.342620	0.476242
0.152440	0.181404
0.191783	0.175482
0.146696	0.114423
0.209774	0.375496
0.268738	1.187822
0.202617	0.180329
0.167732	0.245727
0.178647	0.193832
0.322654	0.761463
0.223313	0.177534
0.251924	0.283415
0.288166	0.576332
0.330634	0.537280
0.231826	0.377877
0.262219	0.330395
0.382332	0.189254
0.164511	0.114335
0.262532	0.334728
0.246457	0.288355
0.264488	1.071175
0.159063	0.153496
0.196854	0.250989
0.130892	0.174740
0.197780	0.177013
0.176517	0.149157
0.260903	0.450057
0.171772	0.174348
0.147396	0.156977
0.286737	0.457345
0.241313	0.769788
0.168953	0.189228
0.164504	0.157924
0.144889	0.186906
0.160410	0.184472
0.163431	0.135648
0.181731	0.198087
0.116222	0.110992
0.303325	0.497453
0.252095	0.563432
0.166232	0.121349
0.185372	0.221519
0.271851	0.519235
0.306607	0.401656
0.162775	0.158706
0.344776	0.667141
0.268497	0.480610
0.363350	0.624962
0.256756	0.143783
0.319477	0.498384
0.253068	0.155637
0.247192	0.163147
0.412093	0.210167
0.354295	0.806021
0.297813	0.297813
0.382063	0.397345
0.300563	0.327613
0.233605	0.365592
0.224014	0.174731
0.284939	0.552781
0.133536	0.098817
0.157655	0.156078
0.323251	0.428308
0.224493	0.212146
0.377714	0.779979
0.263218	0.252689
0.257559	0.430124
0.210572	0.271638
0.184127	0.216349
0.377473	0.800243
0.179199	0.118271
0.321916	0.286506
0.327054	0.454606
0.144035	0.111627
0.276254	0.634003
0.258569	0.455081
0.154348	0.165924
0.241741	0.328768
0.262845	0.273358
0.130992	0.179459
0.141727	0.123302
0.220381	0.513489
0.204053	0.411167
0.224741	0.273060
0.207673	0.247131
0.184203	0.196176
0.263570	0.307059
0.200240	0.208250
0.262410	0.516948
0.205014	0.165036
0.230811	0.212346
0.383656	1.237291
0.418751	0.326626
0.280387	0.398149
0.213518	0.235937
0.199585	0.159668
0.272069	0.263907
0.189789	0.167014
0.198623	0.146981
0.343178	0.384359
0.310535	0.400591
0.213604	0.214672
0.316701	0.717327
0.346982	0.253297
0.255683	0.195598
0.309651	0.521762
0.222942	0.226286
0.371609	0.438499
0.322805	0.267928
0.328586	0.369660
0.241885	0.114896
0.311366	0.228854
0.496900	0.509322
0.665748	0.792241
0.697157	0.383437
0.558451	0.508190
0.388003	0.393823
0.289935	0.476944
0.262265	0.161293
0.648586	0.577242
0.332087	0.179327
0.370749	0.443045
0.619493	0.306649
0.588340	0.882510
0.249091	0.138246
0.226784	0.201838
0.148228	0.158604
0.186076	0.188868
0.379949	0.332455
0.359227	0.576559
0.341184	0.672132
0.258996	0.143743
0.293578	0.199633
0.406579	0.241914
0.558187	0.644706
0.406179	0.958582
0.324774	0.285801
0.355463	0.209723
0.427674	0.350693
0.212600	0.114804
0.390239	0.413654
0.335222	0.271530
0.310493	0.217345
0.448435	1.612123
0.290463	0.453122
0.247484	0.183138
0.302894	0.386190
0.310077	0.401550
0.264065	0.176924
0.238354	0.178766
0.391879	0.344853
0.437666	0.717773
0.238951	0.314221
0.445893	0.595267
0.362197	0.664632
0.281769	0.326852
0.402521	0.845295
0.435669	0.535873
0.359728	0.811186
0.327335	0.191491
0.389534	0.623254
0.232876	0.214246
0.262586	0.324294
0.324392	0.280599
0.238610	0.239804
0.230029	0.204726
0.575792	1.833899
0.390128	0.538377
0.250045	0.293803
0.417611	0.766316
0.242736	0.287643
0.250773	0.176795
0.430738	1.063922
0.265214	0.343453
0.277450	0.396753
0.437421	1.758431
0.212355	0.144401
0.343455	0.259308
0.205814	0.151273
0.430163	0.729127
0.445280	1.033049
0.138703	0.099173
0.248055	0.427895
0.190642	0.218285
0.185856	0.297369
0.208860	0.417721
0.298662	0.495778
0.385857	0.692613
0.141184	0.164479
0.428512	0.906302
0.266171	0.538996
0.210334	0.179835
0.277638	0.273474
0.349293	0.200843
0.230175	0.142708
0.251182	0.164524
0.357124	0.339268
0.280921	0.228950
0.395863	0.407739
0.376423	0.538285
0.360988	0.209373
0.270821	0.199054
0.378868	0.371290
0.202521	0.208597
0.401288	1.480751
