Velocity(m/s)	Chord(mm)
0.128492	0.170894
0.145785	0.228153
0.112462	0.163633
0.095464	0.179472
0.099071	0.202600
0.165491	0.257338
0.125623	0.236799
0.136759	0.210608
0.156924	0.174186
0.176685	0.315383
0.117422	0.170849
0.128863	0.256438
0.099564	0.236464
0.054130	0.143444
0.096646	0.184110
0.108125	0.199491
0.127704	0.438025
0.345951	1.627698
0.081451	0.154349
0.132796	0.241689
0.089337	0.111672
0.167680	0.462796
0.110493	0.118228
0.113638	0.252276
0.144970	0.339955
0.127581	0.136512
0.147380	0.235071
0.131119	0.149475
0.139211	0.220649
0.141675	0.193386
0.302940	0.851261
0.226236	0.173070
0.271658	0.274375
0.134622	0.167604
0.140165	0.128251
0.311328	0.909079
0.179539	0.256740
0.228788	0.420970
0.224124	0.189385
0.178595	0.338437
0.186854	0.237305
0.103020	0.110231
0.214616	0.379870
0.211922	0.261724
0.232598	0.679186
0.200157	0.446350
0.103155	0.133586
0.235211	0.738563
0.188307	0.242916
0.152982	0.224883
0.142996	0.200910
0.166520	0.158194
0.150193	0.130668
0.101535	0.104581
0.203591	0.216824
0.191328	0.288905
0.287214	0.272853
0.168790	0.210987
0.140963	0.226246
0.129588	0.193734
0.128632	0.233468
0.209347	0.245982
0.293768	0.637477
0.174790	0.298890
0.116764	0.134863
0.140661	0.324928
0.056250	0.131907
0.095394	0.120673
0.161930	0.268803
0.169093	0.393986
0.124827	0.177879
0.313506	1.739960
0.090491	0.137999
0.304836	1.992101
0.226507	0.448484
0.103337	0.118320
0.265306	0.522653
0.217064	0.236600
0.226702	0.392194
0.206453	0.357164
0.249449	0.445267
0.179701	0.289319
0.114828	0.115976
0.129100	0.138782
0.137323	0.123591
0.244166	0.297883
0.199843	0.305760
0.137858	0.126829
0.167166	0.426274
0.132853	0.249764
0.214224	0.333118
0.167015	0.251357
0.116535	0.169559
0.241377	0.631200
0.103484	0.172818
0.155840	0.428559
0.076728	0.154223
0.075039	0.147451
0.154396	0.527262
0.134322	0.233049
0.072032	0.140822
0.108524	0.371151
0.086536	0.137591
0.142724	0.255477
0.210355	0.850884
0.133728	0.189225
0.104911	0.139532
0.162634	0.435858
0.108059	0.096172
0.106797	0.219468
0.116507	0.133400
0.128459	0.172134
0.140059	0.317933
0.130457	0.247867
0.160040	0.198449
0.220597	0.347441
0.093215	0.124442
0.145439	0.202160
0.104381	0.112209
0.184080	0.146344
0.256150	0.438017
0.186630	0.221157
0.212717	0.415862
0.151205	0.195055
0.113576	0.143673
0.114453	0.112736
0.290869	0.375221
0.273054	0.423234
0.233632	0.399511
0.123629	0.137847
0.126057	0.192238
0.133177	0.166471
0.101551	0.148772
0.181249	0.330779
0.216782	0.412970
0.095662	0.178888
0.151867	0.252859
0.158630	0.170528
0.096854	0.113803
0.180114	0.429573
0.323303	0.646605
0.256396	0.594839
0.171155	0.255020
0.103178	0.165085
0.258438	0.377319
0.116110	0.174165
0.103470	0.131407
0.208124	0.391273
0.097519	0.120436
0.121136	0.201086
0.166327	0.469043
0.060683	0.109837
0.181465	0.220481
0.226297	0.379048
0.103169	0.187252
0.095623	0.153475
0.175581	0.269516
0.145607	0.133230
0.184694	0.350919
0.113336	0.225539
0.092880	0.107276
0.154352	0.334943
0.258638	1.096627
0.143910	0.164777
0.174999	0.338624
0.245290	0.565394
0.103881	0.130370
0.121426	0.154818
0.105143	0.184000
0.203661	0.353351
0.151853	0.323448
0.153583	0.226536
0.403433	1.783175
0.124849	0.169170
0.163948	0.145094
0.205999	0.324448
0.238628	0.393736
0.241809	0.478783
0.177228	0.273817
0.147469	0.262495
0.185148	0.226807
0.210168	0.337319
0.080484	0.097788
0.114468	0.120192
0.113854	0.281220
0.075873	0.109636
0.130883	0.369089
0.100828	0.141663
0.118048	0.137526
0.110467	0.196631
0.284411	2.130241
