Velocity(m/s)	Chord(mm)
0.131404	0.171482
0.132807	0.215147
0.119280	0.114508
0.181716	0.430666
0.253350	0.359756
0.155341	0.214370
0.187385	0.220178
0.098194	0.123724
0.116414	0.139115
0.192061	0.461907
0.196949	0.174300
0.145958	0.185366
0.233713	0.310839
0.181582	0.390401
0.128020	0.180508
0.214793	0.504763
0.132052	0.202699
0.094392	0.179817
0.121716	0.303074
0.169592	0.167048
0.262110	0.252936
0.163289	0.242485
0.209524	0.312191
0.200083	0.350145
0.235639	0.818845
0.106533	0.198684
0.079398	0.112348
0.213827	1.095863
0.087609	0.120462
0.128205	0.172436
0.138956	0.186896
0.160039	0.217653
0.184643	0.362823
0.095684	0.142569
0.174841	0.251771
0.141911	0.217833
0.092116	0.156598
0.145267	0.171415
0.084220	0.150754
0.192223	0.335430
0.076779	0.081770
0.133522	0.630892
0.112793	0.117305
0.157582	0.472746
0.103803	0.137020
0.069920	0.079708
0.068421	0.089974
0.108958	0.294732
0.168036	0.509988
0.147442	0.411363
0.096078	0.263254
0.068253	0.187013
0.047743	0.161132
0.070691	0.170013
0.119901	0.360302
0.089192	0.160100
0.086546	0.412827
0.051660	0.131475
0.085085	0.216117
0.069534	0.125161
0.120917	0.533244
0.068580	0.133389
0.060549	0.156519
0.110286	0.237114
0.078899	0.282458
0.095789	0.130273
0.184756	0.760271
0.080512	0.187593
0.095272	0.138145
0.115113	0.285480
0.056480	0.093757
0.113194	0.244500
0.097465	0.125242
0.092551	0.173996
0.129420	0.182482
0.154398	0.330412
0.087599	0.118259
0.110849	0.215047
0.089580	0.189462
0.080697	0.108134
0.108049	0.142624
0.250774	0.920339
0.067070	0.086186
0.059890	0.130861
0.072457	0.111946
0.118495	0.482274
0.068497	0.120896
0.068813	0.088081
0.076061	0.287891
0.038012	0.150147
0.086992	0.277941
0.073815	0.209634
0.042068	0.124310
0.083556	0.292446
0.057825	0.137914
0.144966	0.536376
0.087881	0.130503
0.075463	0.156585
0.076779	0.108258
0.077109	0.157687
0.082122	0.127288
0.108437	0.238562
0.219500	0.465339
0.321936	0.370226
0.161863	0.141630
0.136738	0.392437
0.094147	0.160050
0.130354	0.254842
0.066957	0.109139
0.079246	0.166813
0.084815	0.145458
0.100553	0.244343
0.058278	0.105192
0.158833	0.462205
0.096818	0.189762
0.096035	0.225202
0.041097	0.087947
0.065518	0.160191
0.075129	0.195335
0.076371	0.204673
0.103911	0.302381
0.165105	0.328558
0.069708	0.113972
0.073798	0.104055
0.135453	0.487631
0.073412	0.195644
0.108484	0.273380
0.098013	0.292569
0.137599	0.499484
0.077841	0.198104
0.098619	0.190828
0.068733	0.277682
0.035077	0.138378
0.121593	0.246225
0.091935	0.156290
0.144044	0.501273
0.197167	1.208631
0.201017	0.633204
0.091156	0.234270
0.109021	0.231670
0.122169	0.304201
0.114152	0.272254
0.098699	0.173216
0.075131	0.095416
0.079047	0.139518
0.067867	0.092299
0.062426	0.123604
0.094551	0.208485
0.085520	0.210808
0.061469	0.130929
0.063061	0.137789
0.052007	0.107395
0.042903	0.089023
0.122546	0.235289
0.066335	0.129353
0.194201	0.483560
0.054106	0.112269
0.082868	0.244461
0.090474	0.375921
0.087792	0.140467
0.077336	0.198753
0.107832	0.251248
0.108191	0.188252
0.068406	0.137837
0.062270	0.114576
0.088379	0.191782
0.068977	0.088635
0.092529	0.126302
0.091082	0.157572
0.091261	0.116358
0.081780	0.125533
0.114366	0.231019
0.125660	0.130058
0.087704	0.149535
0.067066	0.122060
0.080318	0.129714
0.077245	0.145992
0.112473	0.245754
0.050844	0.088977
0.102436	0.132142
0.148950	0.863165
0.056969	0.172047
0.137132	0.370942
0.106046	0.193535
0.104541	0.188173
0.091701	0.165520
0.148550	0.635796
0.076879	0.093409
0.063012	0.122558
0.107120	0.197637
0.119342	0.213621
0.065610	0.163368
0.132804	0.185925
0.100232	0.171898
0.075690	0.138891
0.127452	0.150394
0.199728	0.424422
0.118494	0.132120
0.122357	0.120522
0.130012	0.161215
0.102820	0.261163
0.099848	0.188213
0.128088	0.165874
0.113001	0.099441
0.109105	0.125470
0.107651	0.136716
0.105026	0.126032
0.064952	0.136400
0.070099	0.129683
0.125032	0.301951
0.111636	0.194247
0.121489	0.208353
0.090332	0.160791
0.142508	0.378358
0.087474	0.243177
0.087693	0.188539
0.135703	0.258514
0.066905	0.129126
0.079974	0.233923
0.099255	0.219353
0.072272	0.144544
0.130726	0.264067
0.051559	0.107500
0.140638	0.530207
0.066377	0.083966
0.128049	0.329727
0.123663	0.144686
0.076491	0.135006
0.170438	0.328945
0.084018	0.195761
0.099915	0.143877
0.061657	0.100810
0.091559	0.183118
0.056516	0.109359
0.042524	0.091853
0.120557	0.357452
0.110849	0.154635
0.174354	0.361784
0.109057	0.148863
0.109348	0.311096
0.156976	0.222906
0.079310	0.120947
0.099414	0.186401
0.132067	0.195460
0.104224	0.134449
0.162959	0.244439
0.075778	0.099269
0.134729	0.301118
0.096883	0.299367
0.070352	0.127338
0.117817	0.255662
0.141868	0.531297
0.077381	0.170239
0.065242	0.130484
0.070031	0.094541
0.097430	0.192911
0.106131	0.169810
0.116297	0.188401
0.164413	0.490773
0.067225	0.112602
0.107490	0.388039
0.081121	0.148046
0.073671	0.177179
0.100754	0.239794
0.078423	0.328594
0.078892	0.196441
0.058131	0.100276
0.058851	0.119174
0.062985	0.098256
0.114004	0.251950
0.064845	0.169570
0.070631	0.155388
0.037472	0.091807
0.055213	0.134443
0.185418	0.203032
0.189399	0.155307
0.246244	0.375522
0.081491	0.173168
0.048236	0.076212
0.175216	0.845417
0.107746	0.248892
0.089340	0.213524
0.142099	0.328248
0.094840	0.157434
0.130844	0.195611
0.064612	0.117270
0.065503	0.102840
0.139498	0.356417
0.107679	0.258968
0.073894	0.097170
0.139428	0.230754
0.100297	0.158970
0.105353	0.201750
0.119957	0.122356
0.215393	0.619255
0.099614	0.133483
0.155268	0.252311
0.167762	0.610654
0.139438	0.576577
0.076957	0.245107
0.097002	0.151808
0.075483	0.145305
