Velocity(m/s)	Chord(mm)
0.071388	0.149559
0.107108	0.146202
0.303690	2.405221
0.248260	0.705057
0.086457	0.122769
0.117029	0.158575
0.157662	0.253836
0.121173	0.106632
0.174113	0.156701
0.192619	0.336120
0.186558	0.316216
0.153001	0.168301
0.126720	0.160301
0.196138	0.214771
0.158354	0.291372
0.156631	0.238862
0.146949	0.208667
0.143734	0.291062
0.198788	0.283273
0.074049	0.156613
0.175678	0.375950
0.139884	0.208427
0.150943	0.337358
0.148806	0.383175
0.133955	0.231073
0.143266	0.393266
0.097036	0.233371
0.198812	1.023883
0.208836	1.292694
0.142002	0.206613
0.109996	0.173794
0.086642	0.156822
0.115675	0.205323
0.212355	0.688030
0.080285	0.132871
0.142307	0.176460
0.086905	0.115584
0.122842	0.308334
0.138119	0.281763
0.150170	0.200476
0.213153	0.288822
0.106930	0.126178
0.143570	0.128495
0.195794	0.266280
0.119468	0.119468
0.141203	0.163090
0.177571	0.257478
0.150855	0.145575
0.115187	0.088118
0.108765	0.114747
0.166594	0.192416
0.125950	0.132248
0.132153	0.165852
0.166642	0.173307
0.168621	0.378553
0.058656	0.170982
0.140462	0.246511
0.117965	0.149225
0.138150	0.181668
0.329120	1.477751
0.145984	0.148904
0.180593	0.332290
0.165766	0.270199
0.087512	0.108078
0.187434	0.417040
0.103992	0.162747
0.119923	0.181083
0.159108	0.208431
0.112881	0.133199
0.108869	0.119212
0.187949	0.239634
0.108470	0.225074
0.175744	0.314582
0.134693	0.187223
0.080905	0.128235
0.131722	0.221951
0.155133	0.244335
0.131254	0.219194
0.136878	0.292919
0.088530	0.126598
0.164678	0.322769
0.078080	0.146010
0.122320	0.193265
0.086395	0.276464
0.151534	0.356105
0.072612	0.106740
0.142074	0.164096
0.135146	0.423683
0.101223	0.278869
0.125738	0.240159
0.138796	0.390710
0.135274	0.192765
0.086020	0.166879
0.063886	0.130967
0.138682	0.375829
0.156905	0.546030
0.113902	0.236346
0.130733	0.176489
0.125028	0.364457
0.070864	0.138894
0.129018	0.362540
0.148234	0.256445
0.106317	0.142464
0.083929	0.111206
0.114005	0.301544
0.146347	0.207813
0.087454	0.131181
0.181090	0.602125
0.074926	0.109393
0.091366	0.102787
0.190446	0.270434
0.145250	0.388543
0.076122	0.119893
0.085192	0.118416
0.152464	0.204302
0.079480	0.160152
0.098964	0.227617
0.328569	1.769345
0.062457	0.093686
0.068808	0.087042
0.143477	0.398867
0.118657	0.241468
0.085928	0.274540
0.083263	0.138633
0.118189	0.334476
0.118730	0.257643
0.057859	0.126710
0.080263	0.103540
0.144381	0.474291
0.096561	0.171396
0.085536	0.138141
0.072929	0.141846
0.106255	0.370298
0.121046	0.262671
0.098207	0.136999
0.092962	0.163614
0.136200	0.264909
0.107703	0.199788
0.130850	0.312732
0.165217	0.554305
0.152157	0.566785
0.153041	0.285422
0.062505	0.116259
0.104916	0.244455
0.088872	0.180410
0.065120	0.173871
0.108234	0.310090
0.083496	0.197467
0.086662	0.180690
0.183879	0.416486
0.122123	0.189902
0.119883	0.348260
0.152798	0.410264
0.076529	0.121682
0.068341	0.123355
0.096912	0.138584
0.076475	0.118154
0.134542	0.419771
0.114843	0.186046
0.158981	0.140699
0.280532	0.208996
0.362787	1.258872
0.209524	0.248286
0.279095	0.185598
0.312354	0.215525
0.196524	0.876495
0.090974	0.176490
0.124937	0.237380
0.170241	0.491147
0.117252	0.367586
0.060882	0.098020
0.164046	0.335473
0.115073	0.300915
0.122928	0.167796
0.119998	0.156597
0.204667	0.439010
0.105337	0.125351
0.116225	0.176082
0.157934	0.287439
0.138472	0.229171
0.163372	0.192779
0.101417	0.170381
0.113243	0.203271
0.100905	0.169521
0.156676	0.336854
0.169426	0.323604
0.097412	0.257167
0.104911	0.176775
0.142470	0.190910
0.225392	0.775347
0.092423	0.129854
0.113631	0.207944
0.144599	0.438134
0.145366	0.273288
0.104611	0.128149
0.091960	0.124146
0.182814	0.521020
0.199613	0.429168
0.108455	0.114962
0.118049	0.113327
0.124769	0.122898
0.129877	0.253261
0.127040	0.163882
0.211497	0.435685
0.244183	0.785049
