Velocity(m/s)	Chord(mm)
0.065208	0.091617
0.072505	0.124346
0.065750	0.106843
0.037044	0.083533
0.050567	0.108720
0.065949	0.094637
0.093122	0.255619
0.182604	0.652809
0.068024	0.187066
0.102754	0.145911
0.052996	0.122950
0.146236	0.339267
0.062050	0.094626
0.047390	0.096676
0.089840	0.136557
0.083361	0.113788
0.061480	0.090068
0.054648	0.080879
0.108583	0.307832
0.063069	0.139383
0.131760	0.265496
0.190403	0.283700
0.101076	0.118764
0.094208	0.136130
0.110024	0.178239
0.061805	0.097034
0.068853	0.107755
0.139496	0.114387
0.135926	0.173306
0.071656	0.098526
0.107375	0.132071
0.054545	0.108544
0.101648	0.133667
0.122357	0.208619
0.114345	0.130925
0.066334	0.102818
0.105905	0.172625
0.113185	0.269945
0.155426	0.111907
0.071295	0.144017
0.057114	0.084529
0.082983	0.097920
0.082256	0.132021
0.122122	0.125786
0.076978	0.091989
0.093769	0.170660
0.172104	0.185012
0.090167	0.128939
0.129122	0.143971
0.068695	0.118498
0.108137	0.161665
0.058564	0.112444
0.080364	0.127778
0.149490	0.153228
0.098060	0.144147
0.115750	0.146424
0.116663	0.153412
0.123263	0.448060
0.092747	0.143295
0.102091	0.157220
0.052447	0.080768
0.050912	0.066695
0.078429	0.143917
0.113021	0.255992
0.123169	0.367044
0.137435	0.166984
0.091399	0.163605
0.172296	0.192110
0.074219	0.120234
0.039236	0.076118
0.046749	0.075500
0.052712	0.158401
0.057177	0.138083
0.113911	0.251173
0.140307	0.378127
0.060134	0.113953
0.161591	0.551835
0.068670	0.084120
0.099454	0.143214
0.116517	0.156716
0.075027	0.179315
0.109349	0.160196
0.068733	0.096226
0.118581	0.142890
0.100133	0.144191
0.171378	0.157668
0.069644	0.156351
0.116319	0.157031
0.081021	0.130849
0.059900	0.140466
0.049485	0.113569
0.092166	0.313363
0.083465	0.143142
0.079443	0.184308
0.052210	0.091107
0.092804	0.116933
0.074890	0.090242
0.055982	0.132677
0.066476	0.201089
0.050187	0.071516
0.051665	0.098164
0.087839	0.193245
0.098722	0.124883
0.055210	0.076466
0.048963	0.094499
0.048120	0.073143
0.059867	0.222107
0.045736	0.095817
0.060010	0.204334
0.089084	0.134517
0.054891	0.078494
0.061757	0.122279
0.160294	0.835132
0.063473	0.122186
0.112333	0.511117
0.057911	0.094685
0.063945	0.120537
0.072522	0.092465
