Velocity(m/s)	Chord(mm)
0.172938	0.526597
0.107284	0.157171
0.165107	0.290588
0.120228	0.327621
0.145675	1.102757
0.101478	0.130906
0.132615	0.126647
0.127580	0.495650
0.124311	0.625905
0.136299	0.422527
0.199484	0.639347
0.092817	0.136906
0.142009	0.715725
0.120048	0.271909
0.210299	1.016797
0.169955	0.421488
0.393754	0.929260
0.436686	2.111378
0.130421	0.410175
0.134625	0.185782
0.230344	0.580466
0.155404	0.224559
0.431032	1.726283
0.200152	1.396059
0.127542	0.149224
0.167007	0.438394
0.236014	1.925873
0.159921	0.246278
0.141022	0.136087
0.242418	0.666649
0.238991	0.444523
0.143897	0.432412
0.075316	0.646212
0.172915	0.255050
0.205422	1.497530
0.099666	0.131061
0.220818	0.416242
0.159916	0.243872
0.142012	0.324496
0.117014	0.279663
0.127529	0.150485
0.234229	2.024909
0.141481	0.336017
0.189399	0.527475
0.104273	0.485393
0.134815	0.206941
0.147203	0.795635
0.231947	0.670326
0.166299	0.282708
0.342401	1.316532
0.224291	1.082205
0.170587	0.264410
0.110124	0.177300
0.142088	0.363035
0.123957	0.161145
0.101246	0.188824
0.102871	0.116758
0.090197	0.128982
0.195736	0.212374
0.147123	0.489920
0.213811	0.625397
0.231002	1.339812
0.147495	0.359889
0.154532	0.479048
0.184112	0.590080
0.247012	0.529840
0.212696	0.409439
0.115888	0.099663
0.106356	0.187718
0.174346	0.350435
0.136514	0.297600
0.091010	0.137881
0.073126	0.098721
0.242986	2.041086
0.236347	1.438171
0.074707	0.114302
0.224565	0.348075
0.208633	0.562266
0.151851	0.471498
0.082058	0.161244
0.101296	0.158529
0.196984	0.361466
0.319848	1.767159
0.282226	0.997670
0.187225	0.478360
0.297136	2.338461
0.137839	0.201935
0.203942	0.959546
0.066589	0.118195
0.162087	1.092466
0.096061	0.180115
0.081677	0.218895
0.143194	0.616450
0.100422	0.187288
0.126071	0.380103
0.044532	0.279881
0.132701	0.303886
0.150477	1.232410
0.131819	0.395457
0.114064	0.166534
0.191685	0.634477
0.200252	0.633798
0.182473	0.562017
0.220748	1.081667
0.151740	0.449909
0.154200	0.340011
0.085185	0.160575
0.105965	0.320543
0.130604	0.406179
0.080316	0.660601
0.105926	0.201260
0.149564	0.981885
0.119897	0.356693
0.204243	1.378642
0.104483	0.239267
0.132024	0.299694
0.177771	0.340431
0.077474	0.269996
0.124750	0.214570
0.053889	0.148464
0.132136	0.233220
0.117696	0.300713
0.223502	0.651510
0.115781	0.330555
0.159495	0.248015
0.217469	1.175419
0.335645	1.300625
0.200607	0.363099
0.113305	0.334250
0.198662	0.639693
0.212437	0.568268
0.184235	0.768261
0.252601	1.102605
0.083390	0.110492
0.183406	0.164149
0.102195	0.106283
0.253211	0.881174
0.210561	0.519032
0.179164	0.291142
0.088615	0.106338
0.189443	0.562647
0.129868	0.243502
0.205492	0.375022
0.176195	0.408773
0.281016	0.924543
0.258270	0.946558
0.164948	0.263918
0.287849	1.809129
0.116087	0.316337
0.128344	0.282999
0.116514	0.236524
0.202098	0.895293
0.074519	0.199338
0.151597	0.303195
0.116339	0.220463
0.199786	1.396507
0.173836	0.543238
0.164903	0.206953
0.118535	0.184323
0.131752	0.173254
0.117946	0.307248
0.211182	0.417084
0.184061	0.334071
0.086061	0.120485
0.143418	0.479733
0.150789	0.397330
0.143563	0.505343
0.149242	0.173121
0.256422	1.229542
0.114998	0.284621
0.170671	0.524814
0.180901	0.336476
0.190664	0.363215
0.275045	0.922775
0.142608	0.265250
0.195336	0.615307
0.120364	0.209434
0.110830	0.198939
0.217011	0.926637
0.111542	0.321240
0.149615	0.177293
0.244364	1.243813
0.129998	0.195647
0.201141	0.692931
0.126970	0.319330
0.146578	0.985001
0.106435	0.133044
0.316548	1.259861
0.189960	0.454954
0.140708	0.360915
0.087877	0.130058
0.159879	0.360526
0.063263	0.183463
0.379566	2.567766
0.272518	1.340788
0.305712	1.325260
0.102231	0.156413
0.070419	0.126050
0.216031	1.080155
0.119936	0.166711
0.335148	2.590692
0.203126	0.891722
0.375070	1.654057
0.233246	0.712567
0.103400	0.194391
0.209486	0.350890
0.486225	3.953012
0.081267	0.142624
0.209081	0.480885
0.123613	0.127940
0.192557	0.334086
0.285711	0.832849
0.302469	0.739537
0.309463	0.440985
0.141502	0.314842
0.091707	0.191209
0.126439	0.691624
0.194817	0.400349
0.142275	0.215547
0.095388	0.129727
0.177868	0.506923
0.101629	0.253055
0.120854	0.265879
0.165524	0.278908
0.181939	0.390260
0.247034	1.209231
0.190706	0.502511
0.113538	0.143058
0.235152	0.510279
0.153151	0.325447
0.302157	0.871722
0.143320	0.214264
0.113096	0.207532
0.069877	0.125778
0.157308	0.556085
0.205862	0.627878
0.108251	0.174825
0.201729	0.984436
0.192004	0.392648
0.057400	0.101886
0.071717	0.102914
0.099379	0.358261
0.047909	0.117137
0.059295	0.113254
0.100911	0.298191
0.182061	0.664522
0.174051	0.333308
0.220891	0.474916
0.205592	0.790500
0.189938	0.490041
0.086685	0.179004
0.101890	0.170665
0.130462	0.749507
0.079904	0.178187
0.136588	0.357177
0.198375	0.711176
0.156248	0.371870
0.129329	0.671215
0.168832	0.629742
0.141442	0.431398
0.317468	1.980998
0.111453	0.215662
0.115565	0.348428
0.133284	0.235245
0.098246	0.161124
0.128212	0.355787
0.133250	0.203872
0.072585	0.160412
0.215235	1.506647
0.149142	0.589113
0.084854	0.452273
0.120117	0.190986
0.188307	0.496189
0.114219	0.202738
0.116074	0.250720
0.188564	1.702735
0.215764	0.578247
0.248122	2.517197
0.091967	0.144848
0.206700	1.012830
0.168672	0.624087
0.113392	0.255699
0.193633	0.596391
0.093121	0.244908
0.127847	0.434680
0.176088	0.413808
0.100352	0.196188
0.161866	0.273554
0.221190	1.658928
0.117360	0.406066
0.153915	0.751103
0.063263	0.140127
0.054886	0.098245
0.118909	0.233655
0.118361	0.200031
0.285823	1.607755
0.268616	1.681537
0.100997	0.120692
0.107864	0.499951
0.086695	0.166021
0.076361	0.196630
0.137535	0.182234
0.181573	0.338634
0.158361	0.197951
0.163783	0.533113
0.103270	0.234424
0.162061	0.331415
0.109233	0.239765
0.096868	0.119148
0.081755	0.120589
0.131196	0.223034
0.099360	0.159970
0.101554	0.304154
0.259275	0.999506
0.125538	0.405487
0.111035	0.200973
0.065519	0.125468
0.144188	0.366238
0.071239	0.282461
0.118627	0.346391
0.230033	0.663646
0.124013	0.261048
0.086537	0.235814
0.104779	0.225275
0.172221	0.733659
0.144144	0.393514
0.112413	0.128151
0.089295	0.211182
0.113521	0.262233
0.102174	0.183914
0.087922	0.167932
0.118904	0.353738
0.218781	0.488976
0.207350	1.281424
0.059077	0.143854
0.176762	0.661090
0.107379	0.317304
0.090108	0.157238
0.186161	0.860997
0.292558	1.477418
0.192126	1.689749
0.199537	0.825087
0.101291	0.162572
0.166693	0.701778
0.149768	0.277820
0.349551	2.067596
0.129174	0.240263
0.150786	0.275185
0.150306	0.446408
0.131358	0.659419
0.239955	1.190178
0.134541	0.996950
0.223124	2.768970
0.135808	0.258034
0.117080	0.373485
0.091855	0.168554
0.199599	0.238521
0.150466	0.245259
0.126692	0.287591
0.386907	2.627100
0.257913	0.455217
0.131907	0.151693
0.190273	0.445239
0.283118	0.312846
0.243847	1.415534
0.306651	1.370731
0.362625	1.758732
0.106215	0.100904
0.264217	1.026483
0.153427	0.161865
0.331673	0.925368
0.108827	0.153990
0.198712	0.208647
0.283580	1.196707
0.136793	0.412432
0.283322	0.585060
0.134375	0.297641
0.446642	2.516826
0.366895	3.360761
0.229095	0.269187
0.266055	1.165320
0.289275	0.643636
0.233269	0.787281
0.293144	1.380708
0.235257	0.378764
0.107231	0.291669
0.148351	0.160961
0.093061	0.152154
0.166752	0.385196
0.225171	0.841012
0.201595	0.889036
0.128298	0.231578
0.145383	0.295127
0.105752	0.253275
0.160155	0.622201
0.251655	0.937416
0.129658	0.333870
0.081977	0.114358
0.289406	1.091059
0.141936	0.113549
0.137449	0.283832
0.094582	0.104041
0.211994	1.114029
0.150707	0.254695
0.228178	0.572727
0.254621	0.454499
0.251799	1.225005
0.141619	0.122500
0.155036	0.151935
0.134500	0.116342
0.178241	0.329745
0.155552	0.270661
0.243301	3.591128
0.289016	1.846809
0.108417	0.217919
0.161478	0.352829
0.248342	0.638240
0.312661	1.417917
0.164776	0.396287
0.126819	0.177546
0.098694	0.180609
0.188061	0.880127
0.090746	0.196011
0.127393	0.268800
0.149545	0.235534
0.136866	0.299052
0.071504	0.132640
0.261949	1.169600
0.084360	0.226086
0.124751	0.176523
0.200675	0.521754
0.217489	0.469777
0.082504	0.116743
0.125910	0.210269
0.210553	0.656926
0.097634	0.117161
0.186390	0.406331
0.071719	0.144155
0.196029	0.981124
0.134917	0.218566
0.149408	0.617804
0.190929	1.055839
0.135249	0.281993
0.089119	0.179130
0.108075	0.261002
0.245127	1.208476
0.216301	2.478808
0.193931	0.389802
0.102815	0.144455
0.109239	0.155119
0.158161	0.204028
0.192289	1.125850
0.152283	0.631974
0.227925	0.744174
0.133251	0.285158
0.245206	0.774852
0.140265	0.273517
0.227255	0.597680
0.146333	0.297787
0.151374	0.420062
0.063844	0.113642
0.120487	0.171694
0.219385	0.821598
0.083375	0.126313
0.096140	0.155266
0.142896	0.220060
0.163418	0.515585
0.144957	0.299335
0.174372	0.506550
0.337096	1.879311
0.087262	0.184995
0.166668	0.429170
0.230129	2.364576
0.241478	1.429550
0.188801	1.145075
0.201254	1.736825
0.114381	0.179006
0.080016	0.134026
0.077179	0.181758
0.092644	0.177876
0.179010	0.171849
0.162620	0.296781
0.165752	0.377915
0.115390	0.319631
0.070240	0.415117
0.234892	0.412236
0.107768	0.348628
0.088785	0.195327
0.107966	0.136037
0.088126	0.183742
0.119651	0.302717
0.080423	0.125460
0.073307	0.144047
0.097692	0.125535
0.093899	0.216907
0.159152	0.572150
0.044807	0.120307
0.214924	1.231516
0.167211	0.400470
0.060347	0.174703
0.344055	1.986917
0.269531	1.719607
0.264113	2.914487
0.150773	0.553336
0.121311	0.199557
0.111001	0.208681
0.131613	0.232954
0.104779	0.203272
0.135603	1.574348
0.153396	0.212453
0.273858	2.044348
0.264616	2.402711
0.118921	0.200382
0.114895	0.181535
0.121530	0.157382
0.192467	0.552381
0.194048	0.374513
0.172614	0.400464
0.091141	0.161319
0.098106	0.117237
0.143344	0.437200
0.296072	2.081384
0.166707	0.657661
0.069479	0.146254
0.117363	0.289300
0.068145	0.081433
0.093461	0.383656
0.121403	0.316862
0.073376	0.163262
0.170125	0.335998
0.253076	1.105944
0.179855	1.062042
0.195733	0.216285
0.143749	0.376623
0.152929	0.938222
0.139712	0.703449
0.156399	0.290119
0.320573	1.457007
0.184231	0.490054
0.059914	0.162967
0.101590	0.158480
0.093030	0.206062
0.112374	0.137097
0.095892	0.183154
0.195115	0.781437
0.184574	0.245483
0.140409	0.307497
0.202246	0.830218
0.126721	0.333275
0.299653	2.791271
0.311493	1.188347
0.080617	0.266037
0.089510	0.109203
0.057184	0.094353
0.093179	0.159336
0.128277	0.246934
0.119331	0.488064
0.121328	0.159546
0.219972	1.265938
0.086569	0.272694
0.159571	0.544136
0.200694	0.742567
0.183838	0.517504
0.183597	0.427780
0.167199	0.278386
0.127277	0.164187
0.157454	0.168475
0.103552	0.129440
0.273928	0.664276
0.143850	0.218652
0.136903	0.159492
0.145133	0.286638
0.140024	0.215637
0.222638	0.435257
0.212258	0.308835
0.085372	0.125924
0.109455	0.133535
0.103045	0.131898
0.138290	0.213659
0.218728	1.061923
0.181636	0.382344
0.114059	0.152269
0.241386	0.855712
0.171321	0.692138
0.099334	0.130127
0.222826	0.552609
0.268523	0.808256
0.155313	0.483023
0.131310	0.144441
0.144804	0.330152
0.143829	0.476073
0.110849	0.152418
0.125390	0.447017
0.102354	0.129990
0.112814	0.138761
0.132189	0.261074
0.135463	0.127336
0.127623	0.222701
0.326609	0.566666
0.120076	0.348220
0.126725	0.231274
0.147436	0.386283
0.132528	1.455815
0.124874	0.667453
0.126772	0.502650
0.080080	0.373575
0.060240	0.126805
0.140554	0.435718
0.086431	0.321524
0.131000	0.294095
0.091228	0.155544
0.349717	1.276466
0.108983	0.255019
0.118880	0.130768
0.402491	1.690460
0.106314	0.288110
0.180612	0.159842
