Velocity(m/s)	Chord(mm)
0.359274	1.546676
0.211424	0.478876
0.158992	0.240873
0.121372	0.243958
0.173989	0.685515
0.145434	0.326500
0.249648	1.529091
0.132381	0.236300
0.185185	0.320370
0.149229	0.409633
0.211007	0.930541
0.115076	0.241659
0.105183	0.236136
0.111093	0.208855
0.094813	0.183463
0.209769	0.249625
0.272411	0.427686
0.141297	0.262106
0.328042	0.775819
0.315371	1.993146
0.203037	0.438559
0.368775	1.688989
0.103184	0.137235
0.177125	0.452554
0.304537	0.826819
0.331686	2.413018
0.245376	0.476029
0.269101	0.400960
0.143811	0.129430
0.161040	0.176338
0.101967	0.086162
0.367965	1.983334
0.211913	0.482102
0.155694	0.245997
0.365776	1.834367
0.140774	0.354047
0.213914	0.271670
0.140872	0.215535
0.370556	1.521133
0.187561	0.323543
0.187643	0.407185
0.158715	0.216646
0.133698	0.168460
0.184411	0.233280
0.266510	1.130003
0.212345	0.532987
0.206586	1.397553
0.339984	1.393932
0.120271	0.174994
0.220089	0.242098
0.180661	0.403778
0.117128	0.121227
0.196371	0.607767
0.159749	0.378605
0.108137	0.156799
0.152540	0.257030
0.352369	1.680802
0.239337	0.539705
0.157725	0.398257
0.119334	0.211220
0.218682	0.420963
0.190752	0.355752
0.200984	0.447190
0.207865	0.494718
0.149211	0.371534
0.072209	0.103259
0.181579	0.238777
0.171751	0.231864
0.264514	0.999864
0.084547	0.115406
0.191625	0.325762
0.150496	0.229506
0.255241	0.536007
0.227609	0.402869
0.309420	0.815323
0.261761	0.458081
0.208360	0.285453
0.344050	0.648535
0.145586	0.242401
0.336507	1.068411
0.156933	0.240107
0.125598	0.132506
0.158243	0.365541
0.241487	0.510746
0.113799	0.149077
0.273769	1.687783
0.409205	2.273134
0.162974	0.317799
0.093656	0.121285
0.180664	0.497730
0.170527	0.420349
0.166997	0.546914
0.128377	0.401178
0.092031	0.133445
0.095017	0.214263
0.246423	1.676906
0.261033	0.824864
0.126101	0.293815
0.084038	0.105888
0.209113	0.365947
0.218676	0.856117
0.226408	0.456212
0.213418	0.384152
0.300772	1.240684
0.110393	0.131368
0.167288	0.357996
0.125616	0.248091
0.143539	0.235405
0.105700	0.223026
0.282528	1.384386
0.106803	0.229626
0.157258	0.913671
0.181740	0.435267
0.434926	3.059705
0.124811	0.278953
0.209617	0.578543
0.231907	0.577449
0.128043	0.190784
0.201258	0.523270
0.257233	1.010926
0.120039	0.307299
0.135902	0.154249
0.152834	0.253704
0.152017	0.623268
0.298075	0.891244
0.091740	0.193571
0.248517	0.534312
0.258617	1.811615
0.080768	0.136094
0.251633	0.647955
0.213384	0.682830
0.117032	0.159163
0.140843	0.210561
0.082562	0.134988
0.165293	0.323974
0.144978	0.270384
0.127905	0.190579
0.291466	1.798346
0.228508	0.603262
0.187786	0.310786
0.202344	0.428970
0.088083	0.328990
0.186695	0.449001
0.150402	0.396310
0.218810	0.432150
0.159971	0.379932
0.155841	0.321032
0.207943	0.562486
0.162738	0.322222
0.127510	0.163212
0.191576	0.352499
0.191009	0.341907
0.148084	0.222126
0.249248	0.892308
0.216944	0.658425
0.162825	0.183178
0.202152	0.495273
0.279589	0.580147
0.199128	0.202115
0.202003	0.360575
0.254954	0.605516
0.284590	1.765883
0.078292	0.245053
0.344213	2.216729
0.153669	0.300423
0.206687	0.721338
0.127326	0.360331
0.125632	0.222996
0.070184	0.160721
0.231558	1.608168
0.227522	0.582457
0.231583	0.239689
0.357948	1.106061
0.088990	0.196224
0.335872	0.481976
0.090814	0.205694
0.198360	0.355065
0.195439	0.766122
0.205634	0.526422
0.105409	0.175506
0.165257	0.274327
0.111911	0.142687
0.102277	0.220919
0.147199	0.276734
0.089598	0.130366
0.299424	1.703725
0.125530	0.279305
0.176959	0.522028
0.229994	0.990126
0.190757	0.501690
0.139576	0.156325
0.346178	1.872824
0.123358	0.137544
0.155399	0.285934
0.266574	0.585130
0.209636	0.732678
0.174896	0.297324
0.289297	1.298942
0.179329	0.345209
0.253385	0.473829
0.181217	0.439452
0.136585	0.208293
0.138526	0.136448
0.145299	0.213589
0.137372	0.287793
0.144070	0.160638
0.197627	0.408099
0.284798	1.109289
0.095644	0.112860
0.143499	0.340092
0.167785	0.832215
0.096667	0.179801
0.084969	0.158468
0.206624	0.419448
0.359137	1.630482
0.132379	0.311091
0.099329	0.260739
0.117306	0.223468
0.362013	2.126826
0.123299	0.129464
