Velocity(m/s)	Chord(mm)
0.098341	0.210449
0.105348	0.225971
0.096705	0.235478
0.074374	0.195233
0.309970	1.670739
0.145799	0.377620
0.147107	0.506785
0.144759	0.587723
0.102855	0.569303
0.088251	0.233864
0.090749	0.380240
0.120809	0.253698
0.227344	0.471739
0.150817	0.254880
0.086526	0.183004
0.140999	0.186824
0.137645	0.392975
0.137601	0.252497
0.127803	0.387881
0.157660	0.248315
0.144487	0.262244
0.153114	0.410346
0.294763	1.780369
0.117920	0.339019
0.103452	0.283459
0.076533	0.186357
0.109282	0.163377
0.142392	0.153071
0.116748	0.291869
0.230827	1.054881
0.123727	0.189303
0.194513	0.630223
0.280970	0.953894
0.153270	0.602351
0.158955	0.679534
0.170967	1.434410
0.168791	0.340958
0.144723	0.174391
0.145131	0.171980
0.171337	0.312689
0.214851	0.370617
0.309167	0.593601
0.135557	0.210113
0.331774	1.843005
0.199462	1.455074
0.118319	0.170971
0.169400	0.178717
0.154343	0.282447
0.188827	0.181274
0.085263	0.192268
0.412733	1.582830
0.310490	1.931245
0.096098	0.128291
0.220593	0.478687
0.120861	0.291879
0.165779	0.271878
0.186851	0.391453
0.215663	0.422700
0.109063	0.195768
0.210134	1.196710
0.113981	0.193198
0.141308	0.694530
0.135026	0.218742
0.133587	0.335303
0.099068	0.226865
0.086416	0.160302
0.158857	0.149326
0.198414	0.604172
0.259985	1.923887
0.107489	0.190792
0.161505	0.264060
0.252841	1.428551
0.126049	0.267223
0.128256	0.368095
0.075271	0.103498
0.110831	0.155717
0.128171	0.271723
0.106243	0.117930
0.121252	0.208553
0.283572	1.976500
0.113471	0.187227
0.305440	1.099584
0.112006	0.277215
0.120358	0.210626
0.072577	0.137170
0.131839	0.592617
0.057111	0.111651
0.312167	0.490102
0.120110	0.273249
0.091678	0.108638
0.151423	0.214264
0.105721	0.218313
0.259844	1.206973
0.089897	0.134397
0.352133	0.589823
0.212659	0.569925
0.507422	2.339216
0.299034	1.837565
0.203655	0.365561
0.199876	0.416741
0.117453	0.180290
0.267239	1.110376
0.120194	0.264426
0.138180	0.148543
0.135909	0.204542
0.143256	0.308000
0.158090	0.230811
0.109290	0.133880
0.159851	0.139071
0.213369	0.416069
0.302492	0.549023
0.190376	0.142782
0.271452	0.720704
0.151447	0.323339
0.115067	0.153615
0.188933	0.385423
0.152972	0.279173
0.229238	0.747315
0.157820	0.288021
0.135964	0.265810
0.270491	0.719505
0.162316	0.624105
0.137610	0.138986
0.207252	0.150258
0.277501	1.565108
0.097154	0.170020
0.208374	3.102696
0.123996	0.334789
0.107135	0.183737
0.175199	0.357406
0.158055	0.464683
0.217558	0.428590
0.065028	0.127454
0.123107	0.191431
0.112255	0.158841
0.070437	0.139113
0.148178	0.441572
0.083078	0.110493
0.207311	0.638519
0.125006	0.402520
0.083555	0.143715
0.210559	1.915032
0.199378	1.812344
0.234639	0.651124
0.147574	0.360081
0.227918	1.101983
0.151852	0.119204
0.137543	0.724166
0.191808	0.876565
0.088383	0.178091
0.299407	0.881754
0.172697	0.292722
0.218215	0.577180
0.225359	0.336911
0.138161	0.349547
0.140350	0.374033
0.263160	0.939481
0.114239	0.330722
0.088734	0.128220
0.143062	0.389845
0.137915	0.521317
0.172586	0.272685
0.283520	1.908093
0.292967	0.571286
0.072879	0.161792
0.100570	0.259972
0.118824	0.188931
0.093180	0.168656
0.122781	0.391056
0.242874	0.813629
0.210459	0.725033
0.141753	0.255155
0.148345	0.367154
0.139493	0.249692
0.212221	0.519941
0.115918	0.208653
0.095787	1.507682
0.208371	0.706377
0.197740	0.842371
0.059276	0.163010
0.120638	0.388454
0.092467	0.356922
0.210484	1.121881
0.186635	0.464720
0.197240	1.112435
0.090884	0.141779
0.272297	2.313163
0.360538	1.644053
0.091509	0.318453
0.165265	0.386719
0.073954	0.411553
0.144381	0.196358
0.064343	0.133512
0.182895	1.688117
0.250057	1.169017
0.074348	0.129366
0.166284	0.454788
0.215782	1.317348
0.212946	0.562176
0.112585	0.399113
0.242826	1.481238
0.061298	0.139760
0.289769	3.274385
0.294924	1.611758
0.179636	1.218831
0.347178	1.265464
0.170038	0.448901
0.068472	0.129754
0.137527	0.288119
0.336014	2.048007
0.197324	0.704447
0.087939	0.133667
0.157407	0.492683
0.163379	0.388025
0.274707	1.310354
0.108493	0.166537
0.120139	0.129149
0.142295	0.305935
0.264723	0.444735
0.112099	0.252783
0.095628	0.117144
0.162291	0.423580
0.189453	0.381747
0.180273	0.292042
0.153241	0.268171
0.124449	0.114493
0.171259	0.183248
0.104003	0.107643
0.126118	0.231426
0.164770	0.215025
0.323955	0.724040
0.109373	0.123045
0.154586	0.370234
0.145354	0.244195
0.197912	0.811438
0.082738	0.094735
0.133873	0.304560
0.113350	0.290742
0.181793	0.440847
0.153246	0.534827
0.123085	0.176627
0.095765	0.271015
0.220541	1.528347
0.063885	0.151407
0.133267	0.281194
0.174925	0.221281
0.102785	0.190152
0.267359	0.467878
0.186887	1.133471
0.318000	1.143211
0.144814	0.319314
0.143385	0.281035
0.107303	0.136811
0.244416	0.679476
0.115523	0.340215
0.081722	0.161809
0.111849	0.123593
0.136308	0.335317
0.071615	0.144662
0.176430	0.296402
0.126143	0.251025
0.219220	0.486667
0.132140	0.233887
0.129882	0.479264
0.132331	0.326196
0.239971	0.455944
0.226751	0.580482
0.077547	0.103913
0.201134	0.209179
0.069370	0.200827
0.226766	0.645150
0.091357	0.151195
0.113786	0.217900
0.133304	0.382583
0.088714	0.161015
0.183373	0.458433
0.146963	0.186643
0.397084	1.540687
0.091926	0.149839
0.163984	0.441938
0.204286	0.673124
0.135271	0.298272
0.101368	0.150531
0.243950	0.918472
0.236938	0.736878
0.091206	0.166907
0.193153	0.524411
0.181365	0.263886
0.248935	0.558859
