Velocity(m/s)	Chord(mm)
0.035363	0.164967
0.202546	1.915070
0.100053	0.129068
0.038796	0.228898
0.136925	1.032413
0.121746	0.162531
0.164911	1.916265
0.118226	0.502461
0.136452	0.326803
0.204723	1.148495
0.132562	0.468608
0.151988	0.440004
0.118229	0.145422
0.150216	0.207298
0.176580	0.289592
0.096213	0.235240
0.236836	0.391964
0.139020	0.544957
0.137808	0.117137
0.095913	0.183194
0.275599	0.369303
0.290300	0.966699
0.287920	0.619028
0.249132	0.708781
0.159138	0.250643
0.350666	0.594379
0.275377	0.655398
0.374616	0.766090
0.228014	0.287298
0.184533	0.193759
0.284409	1.594112
0.212950	0.192719
0.381569	0.389200
0.197900	0.173162
0.381400	0.436703
0.342718	1.041862
0.396348	0.919528
0.372304	0.446765
0.219564	0.364476
0.174553	0.268811
0.199457	0.289212
0.300076	0.463617
0.142032	0.182511
0.268699	0.260638
0.200297	0.668992
0.195611	0.227886
0.140167	0.241087
0.268324	0.436027
0.215593	0.500177
0.216944	0.152946
0.298438	0.965448
0.363818	0.838601
0.307778	0.309317
0.223300	0.291407
0.247949	0.151249
0.247999	0.231879
0.302794	0.384549
0.276332	0.252844
0.447243	0.471841
0.388214	0.242634
0.189000	0.144585
0.309975	0.638548
0.313123	0.702962
0.557573	1.209933
0.188299	0.143108
0.468676	0.431181
0.500345	1.103261
0.581474	0.793712
0.331812	0.233927
0.549423	1.129065
0.510295	0.854744
0.463785	0.806986
0.265448	0.184487
0.463507	0.635004
0.214582	0.125531
0.239080	0.166161
0.395789	0.587747
0.283763	0.219917
0.874673	2.348497
0.408119	0.197938
0.305203	0.169387
0.631750	0.897085
0.552645	0.828968
0.342130	0.208700
0.475013	0.750520
0.545900	0.499499
0.638731	0.932548
0.246179	0.113243
0.262464	0.164040
0.404853	0.469629
0.597555	0.758894
0.490097	1.362469
0.658737	0.494053
0.237481	0.147238
0.733402	1.631820
0.547432	0.380465
0.411410	0.633572
0.339588	0.935565
0.432982	1.045652
0.305112	0.234936
0.447386	0.731476
0.192943	0.246967
0.325425	0.771257
0.437917	0.451054
0.189142	0.121051
0.309882	0.337772
0.252728	0.592648
0.523449	0.777322
0.470562	2.439861
0.449700	1.472769
0.308429	0.767989
0.391719	0.603248
0.241852	0.384545
0.242763	0.339868
0.232089	0.375984
0.324331	0.914613
0.176633	0.318822
0.317083	0.992469
0.288052	0.545858
0.159086	0.122496
0.292468	0.453326
0.496398	0.982868
0.333683	0.308657
0.410954	0.643143
0.331809	0.185813
0.563097	1.005129
0.533679	1.126063
0.213463	0.101395
0.227447	0.253603
0.365665	0.305330
0.563675	1.609291
0.506141	0.711129
0.492660	0.428614
0.300767	0.190987
0.355258	0.337495
0.420992	0.631487
0.629790	0.815578
0.293850	0.202757
0.476346	0.309625
0.252200	0.267332
0.241452	0.176260
0.444530	0.437862
0.408847	0.468130
0.268822	0.245972
0.325737	0.167754
0.345260	0.454017
0.405425	0.486510
0.220576	0.149992
0.129417	0.091239
0.421112	0.869597
0.239042	0.431470
0.370564	1.109840
0.119125	0.091726
0.308618	0.314791
0.223066	1.058449
0.276466	0.858427
0.228077	0.704758
0.126897	0.078041
0.153405	0.287634
0.161296	0.172587
0.167353	0.269439
0.257288	0.505571
0.165525	0.423744
0.343605	0.444968
0.349961	0.577436
0.276275	1.164499
0.365657	0.616131
0.458252	1.033358
0.155762	0.221182
0.495897	1.430663
0.205322	0.321330
0.370682	0.205729
0.179333	0.138087
0.465291	1.426116
0.249499	0.724795
0.359753	0.917370
0.267216	0.697434
0.591767	0.834392
0.392000	0.701681
0.319232	0.659214
0.288491	0.164440
0.777821	2.652371
0.257421	0.287024
0.504855	1.903303
0.289589	0.204160
0.238729	0.311541
0.267884	0.200913
0.320701	0.758457
0.223930	0.644917
0.231777	0.229460
0.209367	0.476311
0.309916	0.842973
0.161316	0.285530
0.309157	1.895134
0.186702	0.587179
0.261244	0.834675
0.235074	0.687591
0.383264	0.739699
0.278809	1.211426
0.230371	0.449224
0.099485	0.127340
0.154123	0.168765
0.144196	0.323720
0.319095	0.279208
0.571384	1.611302
0.612795	1.449261
0.347306	0.432396
0.296069	0.344920
0.342638	0.477980
0.124143	0.126005
0.326947	0.375989
0.243939	0.173196
0.248993	0.248993
0.453947	0.590131
0.433920	0.388358
0.264602	0.683997
0.347978	1.539802
0.458244	1.049378
0.296790	0.599516
0.337366	0.229409
0.399685	0.645491
0.424744	1.002397
0.212963	0.254491
0.372997	1.400604
0.222099	0.163243
0.260304	0.374838
0.402618	0.700555
0.457446	0.725051
0.188248	0.141186
0.329303	0.755751
0.276984	0.267290
0.396217	0.372444
0.358707	0.656434
0.146258	0.136751
0.308732	0.211481
0.336591	0.442618
0.469603	1.664744
0.290299	0.364325
0.513631	1.520348
0.232481	0.130190
0.325840	0.707074
0.287142	0.534084
0.236103	0.698866
0.312496	1.198423
0.199278	0.632709
0.351806	1.375560
0.201644	0.491004
0.090711	0.201831
0.158136	0.373992
0.336631	0.414057
0.098600	0.146915
0.288324	0.905339
0.157816	0.185433
0.400297	0.710528
0.320389	0.382865
0.278750	1.304550
0.191628	0.393795
0.234559	1.623149
0.131934	0.124677
0.158880	0.302667
0.109304	1.237862
0.108132	0.830997
0.070255	0.359705
0.079663	0.491122
0.122065	0.276478
0.098935	0.221119
0.129796	0.686621
0.113412	0.282397
0.142847	0.371403
0.103268	0.537508
0.191159	0.431063
0.062138	0.229290
0.149509	0.213050
0.188652	0.409374
0.101034	0.283906
0.109505	0.482918
0.134747	0.280947
0.242094	0.246936
0.152344	0.678692
0.242164	1.031619
0.188884	0.189828
0.195779	0.154665
0.086656	0.191511
0.230662	0.670074
0.406117	1.143219
0.218986	0.235410
0.428579	2.290754
0.244686	0.584799
0.494070	0.513833
0.439126	0.838731
0.503263	0.883226
0.289040	0.287594
0.234943	0.415849
0.202978	0.616039
0.440163	1.547171
0.259559	0.162224
0.310338	0.507403
0.378954	0.560851
0.338087	0.491917
0.175238	0.111276
0.411206	1.071192
0.305135	0.425663
0.329075	1.123790
0.310327	0.755646
0.121086	0.131379
0.118697	0.223150
0.187979	0.155083
0.145536	0.125888
0.317897	1.130126
0.439522	1.114189
0.225760	0.707758
0.174599	0.311659
0.423122	1.785576
0.248431	0.706785
0.191626	0.420620
0.275883	1.820828
0.280546	0.446068
0.263020	0.198580
0.185063	0.481163
0.176056	0.986796
0.180529	0.217538
0.376929	1.243865
0.304376	0.523526
0.343210	0.799679
0.258992	1.155106
0.190389	0.434086
0.143604	0.199610
0.250065	0.437613
0.182032	0.322197
0.183488	0.411930
0.217904	0.810602
0.233018	0.412441
0.374757	1.783846
0.196572	0.401007
0.318444	0.802479
0.316291	1.061157
0.245140	0.875150
0.376755	0.651787
0.198038	0.319832
0.187343	0.173292
0.153750	0.185269
0.139379	0.131016
0.248476	1.884690
0.183739	0.223243
0.164484	0.449042
0.154363	0.141242
0.148105	0.351008
0.084833	0.152700
0.119329	0.282810
0.113511	0.178780
0.089384	0.118434
0.252801	0.859524
0.291478	0.974994
0.253064	0.994541
0.207619	0.443267
0.185659	0.707362
0.181056	0.305985
0.094421	0.196869
0.204542	0.721011
0.252339	0.739353
0.335870	0.668381
0.293879	0.546615
0.282381	0.583116
0.252853	0.499384
0.106308	0.146706
0.206351	0.297145
0.152269	0.299970
0.163725	1.001179
0.182427	0.780789
0.115072	0.315872
0.141647	0.385987
0.144980	0.377673
0.256158	1.684239
0.189320	1.404753
0.049677	0.181074
0.086931	0.143001
0.214676	0.503414
0.163934	0.805738
0.098663	0.718757
