Velocity(m/s)	Chord(mm)
0.105350	0.215967
0.187207	0.175975
0.201045	0.232207
0.167618	0.333560
0.194068	0.229000
0.136268	0.242557
0.199546	0.266394
0.129508	0.191024
0.233074	0.425361
0.099222	0.118570
0.194180	0.613608
0.143612	0.209674
0.148626	0.269755
0.132098	0.195505
0.154369	0.149738
0.125049	0.123799
0.179869	0.145694
0.251517	0.169774
0.239420	0.543484
0.246460	0.289591
0.155041	0.147289
0.245357	0.207327
0.315138	0.731121
0.146592	0.143661
0.130740	0.199378
0.107436	0.138055
0.142668	0.273923
0.161193	0.278864
0.166128	0.224273
0.155177	0.307250
0.132545	0.136521
0.153652	0.139055
0.170710	0.154493
0.180156	0.171149
0.136203	0.131436
0.155988	0.276099
0.203648	0.400169
0.219784	0.532977
0.193711	0.225673
0.241020	0.565192
0.163495	0.133249
0.254561	0.488758
0.237255	0.148285
0.258889	0.179928
0.291511	0.394998
0.108363	0.091567
0.158343	0.217722
0.167468	0.186727
0.163704	0.143241
0.202625	0.527839
0.208212	0.408095
0.171307	0.184156
0.212930	0.254451
0.157448	0.227513
0.148577	0.132976
0.271360	1.069157
0.191764	0.262717
0.121225	0.155774
0.259178	0.592221
0.202346	0.294414
0.198923	0.444593
0.123230	0.094887
0.206296	0.228988
0.209303	0.294071
0.181342	0.213984
0.193172	0.258851
0.177014	0.242509
0.190437	0.177107
0.182175	0.199482
0.242800	0.254940
0.209247	0.527301
0.198748	0.201729
0.168442	0.342779
0.161888	0.242022
0.210347	0.396504
0.198414	0.318455
0.222970	0.157194
0.246012	0.302595
0.240512	0.352350
0.185391	0.127920
0.380581	0.968577
0.257864	0.346827
0.190350	0.164652
0.301840	0.585569
0.220358	0.145437
0.291039	0.362344
0.178595	0.106264
0.302179	0.267428
0.239768	0.340471
0.326470	0.538675
0.285200	0.181102
0.190772	0.579948
0.200375	0.313587
0.211646	0.252917
0.305704	0.330160
0.195354	0.322333
0.236746	0.377610
0.144210	0.168726
0.170721	0.209987
0.142175	0.120849
0.251927	0.233033
0.265524	0.481926
0.192963	0.301023
0.281645	0.530900
0.262297	0.228199
0.233538	0.314109
0.132194	0.119635
0.241674	0.282759
0.191851	0.188014
0.231944	0.354875
0.394693	0.394693
0.166201	0.102214
0.288638	0.321831
0.234217	0.154583
0.191607	0.248131
0.280148	0.308162
0.337663	0.508183
0.297763	0.238210
0.330196	0.586098
0.197971	0.227666
0.214566	0.127667
0.292659	0.295585
0.303153	0.510812
0.370820	0.556230
0.316222	0.822178
0.197008	0.114264
0.542348	0.897585
0.443259	0.407798
0.244708	0.160284
0.398218	0.350432
0.186332	0.134159
0.196690	0.121948
0.226913	0.428865
0.219485	0.375319
0.080880	0.096652
0.093461	0.090657
0.200819	0.353441
0.212606	0.295522
0.173409	0.192484
0.154655	0.138417
0.223683	0.278486
0.156154	0.193631
0.176390	0.258411
0.120351	0.120953
0.143075	0.203882
0.210379	0.270337
0.233985	0.262063
0.235929	0.463601
0.248475	0.515585
0.183040	0.376148
0.217767	0.395247
0.177137	0.142595
0.161959	0.266423
0.144628	0.120041
0.214890	0.176210
0.112752	0.126846
0.171442	0.226303
0.192870	0.296056
0.169747	0.154470
0.198882	0.249597
0.110958	0.146465
0.149656	0.123466
0.129914	0.126666
0.148135	0.145913
0.169233	0.297004
0.131469	0.129497
0.208934	0.271614
0.204703	0.379724
0.178624	0.212562
0.200576	0.416195
0.278444	0.526260
0.173861	0.340767
0.132649	0.242084
0.182452	0.253608
0.146845	0.125552
0.172697	0.174424
0.146644	0.379809
0.109707	0.187598
0.127963	0.145878
0.145715	0.266658
0.182149	0.530055
0.195334	0.198264
0.191506	0.348541
0.179838	0.303027
0.203969	0.387540
0.165439	0.177020
0.294035	0.735087
0.285096	0.980730
0.129243	0.133120
0.183749	0.143324
0.179308	0.207101
0.167842	0.276940
0.173946	0.180903
0.207530	0.206492
0.169578	0.150077
0.237557	0.346833
0.192678	0.281310
0.174634	0.275922
0.171937	0.216641
0.235896	0.527227
0.237655	0.470557
0.206330	0.301242
0.188645	0.229204
0.146518	0.243220
0.155399	0.229214
0.136557	0.281989
0.076879	0.155679
0.150966	0.203804
0.140081	0.153389
0.169484	0.343205
0.142452	0.232909
0.160767	0.168806
0.105700	0.177575
0.215471	0.409395
0.185345	0.354936
0.237884	0.419866
0.353827	0.470590
0.271991	0.372628
0.213780	0.514140
0.179358	0.203572
0.230550	0.468016
0.150260	0.166037
0.165532	0.173809
0.185057	0.219292
0.167478	0.192599
0.238622	0.382988
0.198350	0.202317
0.198425	0.195448
0.244085	0.468642
0.253849	0.264003
0.165444	0.197705
0.215820	0.342075
0.159633	0.307294
0.167662	0.207900
0.163885	0.195842
0.149867	0.133382
0.222672	0.502126
0.106206	0.122668
0.162451	0.167325
0.176467	0.175585
0.132919	0.201373
0.177170	0.406604
0.175562	0.136938
0.233063	0.399703
0.212744	0.190406
0.263167	0.240798
0.204840	0.285752
0.159196	0.257898
0.147774	0.164767
0.218203	0.260753
0.235445	0.221318
0.210056	0.188000
0.306747	0.512267
0.277904	0.611389
0.177887	0.386014
0.147968	0.264862
0.180498	0.206671
0.270147	0.332280
0.195893	0.308531
0.199537	0.217496
0.240084	0.272495
0.152566	0.206727
0.177594	0.286814
0.182942	0.328381
0.278768	0.525478
0.215199	0.221655
0.247501	0.454165
0.196103	0.220616
0.170377	0.239379
0.172920	0.231713
0.182909	0.200285
0.209120	0.268719
0.201288	0.187197
0.130550	0.181464
0.261337	0.337125
0.188844	0.131246
0.271327	0.199425
0.279460	0.500234
0.265675	0.475558
0.239222	0.593270
0.175683	0.305688
0.117716	0.148911
0.122797	0.235157
0.234017	0.448143
0.189690	0.327215
0.284120	0.581025
0.272722	0.263176
0.187613	0.186675
0.239605	0.583438
0.287657	0.365325
0.195981	0.217539
0.233131	0.405649
0.180615	0.147201
0.225330	0.258003
0.171986	0.233900
0.187499	0.213749
0.225061	0.346594
0.224274	0.268007
0.226844	0.483177
0.156487	0.122060
0.158500	0.196540
0.134335	0.245834
0.202479	0.271321
0.184591	0.273195
0.116461	0.127524
0.137791	0.141236
0.134740	0.128677
0.164917	0.190479
0.172554	0.302832
0.209180	0.307495
0.228371	0.353975
0.172622	0.221819
0.239029	0.358543
0.247909	0.389217
0.103369	0.101301
0.123790	0.118839
0.254423	0.291315
0.235859	0.436338
0.256789	0.734417
0.176114	0.226306
0.201678	0.248064
0.240078	0.403330
0.210553	0.347413
0.227511	0.437959
0.104334	0.167978
0.225138	0.309564
0.160481	0.174122
0.164882	0.223415
0.303681	1.085660
0.214642	0.547337
0.261730	0.571880
0.216782	0.422725
0.257394	0.214924
0.317609	0.185801
0.305847	0.604047
0.278331	0.489863
0.222489	0.268099
0.144487	0.131483
0.284105	0.548323
0.195553	0.133954
0.148537	0.108432
0.159676	0.134926
0.161986	0.130399
0.215215	0.218444
0.224745	0.331499
0.193121	0.227883
0.163845	0.244129
0.128360	0.253511
0.195102	0.313139
0.116113	0.155010
0.222356	0.322417
0.205232	0.312978
0.154419	0.179126
0.153438	0.154205
0.175194	0.152418
0.243799	0.167002
0.222760	0.299612
0.233567	0.310644
0.191288	0.240067
0.305941	0.215689
0.214491	0.304577
0.186144	0.370426
0.264013	0.469944
0.276310	0.635513
0.246063	0.446604
0.297433	0.776301
0.253453	0.617159
0.252131	0.535778
0.216351	0.318036
0.150254	0.181056
0.176557	0.146543
0.306485	0.868885
0.134168	0.123434
0.251643	0.449183
0.218633	0.343253
0.129392	0.230318
0.251969	0.559371
0.234508	0.619101
0.153819	0.198426
0.155510	0.218491
0.138461	0.142615
0.220490	0.432161
0.155152	0.224194
0.198693	0.279164
0.113664	0.159697
0.165315	0.239707
0.196854	0.308076
0.180938	0.237028
0.148104	0.180687
0.176402	0.302529
0.101167	0.187160
0.125804	0.219528
