Velocity(m/s)	Chord(mm)
0.272566	0.257575
0.135877	0.166449
0.280170	0.205925
0.301465	0.296944
0.222796	0.171553
0.216741	0.357623
0.159738	0.163731
0.252128	0.330287
0.156932	0.144377
0.182423	0.229853
0.387957	0.808891
0.456449	1.262083
0.295730	0.380013
0.403059	0.588466
0.340715	0.449744
0.482858	0.714629
0.507002	0.577982
0.320808	0.168424
0.256461	0.132078
0.292502	0.378791
0.392106	0.517581
0.220248	0.180603
0.375623	0.416941
0.308415	0.357761
0.247370	0.221396
0.246906	0.193822
0.358394	0.476664
0.216478	0.175348
0.435427	1.458681
0.316172	0.188123
0.423854	0.705717
0.210528	0.244213
0.298810	0.237554
0.220702	0.135732
0.342654	0.344367
0.286572	0.128957
0.300634	0.183387
0.314264	0.491824
0.361650	0.235072
0.349457	0.316259
0.194706	0.130453
0.355260	0.641244
0.371303	0.462273
0.405662	0.608493
0.325952	0.298246
0.307971	0.170924
0.539315	1.493904
0.237594	0.196015
0.296699	0.370874
0.299086	0.179452
0.376198	0.267101
0.343414	0.683393
0.305110	1.385200
0.233629	0.225452
0.345203	0.357285
0.410985	0.304129
0.213222	0.158850
0.278693	0.241070
0.473019	1.501834
0.231368	0.262603
0.184206	0.109603
0.324444	0.337422
0.201802	0.249226
0.268110	0.209126
0.452974	0.627369
0.360902	0.584661
0.228138	0.146008
0.219697	0.163674
0.261800	0.145299
0.259184	0.226786
0.530435	1.042304
0.294030	0.160247
0.270992	0.134141
0.428625	0.334327
0.377108	0.226265
0.384996	0.238698
0.453729	0.417431
0.485486	0.473349
0.610656	1.187727
0.481488	0.440561
0.553285	1.433007
0.432503	0.711467
0.251687	0.108225
0.461237	0.523504
0.307169	0.170479
0.288157	0.249255
0.341957	0.374443
0.320254	0.187349
0.469055	0.628533
0.435767	0.400905
0.353607	0.318246
0.323207	0.245637
0.450499	0.889736
0.295698	0.175940
0.228984	0.123652
0.312354	0.268625
0.370063	0.405219
0.257624	0.142981
0.394177	0.236506
0.350542	0.134959
0.555492	0.436061
0.560449	0.910729
0.437412	0.308375
0.475415	2.990359
0.391484	0.649863
0.274475	0.178409
0.403963	0.323170
0.933290	1.684588
0.699727	0.538790
0.409754	0.379023
0.605139	0.813912
0.655931	0.364041
0.382293	0.131891
0.604093	0.296005
0.791906	1.084911
0.601404	0.294688
0.413408	0.531229
0.462957	0.312496
0.514455	0.794832
0.641206	1.660724
0.369526	0.142268
0.442200	0.468732
0.371444	0.241438
0.244546	0.135723
0.528404	0.327610
0.447761	0.472388
0.364772	0.373892
0.311631	0.215025
0.180066	0.125146
0.219726	0.164795
0.259496	0.144020
0.337786	0.790420
0.297803	0.580716
0.497409	0.683937
0.282267	0.345777
0.357714	0.357714
0.233027	0.111853
0.365413	0.666879
0.361867	0.432431
0.171447	0.106297
0.474398	0.517094
0.357387	0.248384
0.403822	0.321038
0.280089	0.144246
0.410098	0.112777
0.776793	0.605898
0.336741	0.202045
0.521542	0.166893
0.362667	0.141440
0.397151	0.208504
0.315326	0.115094
0.769767	0.704337
0.748718	0.759949
0.451574	0.284491
0.653083	0.613898
0.671512	0.537210
0.542330	0.311840
0.747324	0.586649
0.449409	0.287622
0.654685	0.500834
0.648164	0.495846
0.429696	0.204106
0.711235	0.408960
0.828897	1.400836
0.354755	0.177377
0.505032	0.280293
0.590919	0.723875
0.430060	0.152671
0.570500	0.436432
0.560116	0.728151
0.436373	0.432009
0.584386	0.616527
0.555137	0.371942
0.592115	0.867448
0.626015	1.183169
0.668393	1.320077
0.407410	0.323891
0.330971	0.216786
0.329647	0.301627
0.319169	0.220227
0.367916	0.309049
0.244289	0.213753
0.292419	0.219314
0.384073	0.240046
0.288979	0.300538
0.438236	0.385648
0.324143	0.599664
0.265636	0.326733
0.380746	0.186566
0.436745	0.486970
0.249380	0.256862
0.285418	0.204074
0.239304	0.139993
0.391516	0.499183
0.414437	0.692111
0.275750	0.492213
0.264496	0.125636
0.257441	0.149316
0.345348	0.283185
0.285191	0.181096
0.307258	0.213545
0.330474	0.375088
0.234427	0.148861
0.597607	0.857566
0.327567	0.158870
0.238865	0.151680
0.496446	0.968069
0.528709	0.734905
0.305606	0.265877
0.430631	0.406947
0.617558	0.475520
0.492495	0.145286
0.539904	0.839551
0.367838	0.226221
0.320137	0.224096
0.268248	0.228011
0.264863	0.161567
0.333463	0.161730
0.382201	0.189190
0.737369	4.306237
0.820295	1.127906
0.394974	0.179713
0.625177	0.768968
0.603033	0.551775
0.750637	0.893258
0.747281	0.878055
0.380704	0.196063
0.802568	0.894864
0.680119	0.693721
0.426193	0.277026
0.790247	0.881126
0.540962	0.313758
0.682582	0.344704
