Velocity(m/s)	Chord(mm)
0.170851	0.137535
0.236093	0.146378
0.451526	0.390570
0.250724	0.284572
0.491024	0.601504
0.681585	0.746336
0.485124	0.196475
0.399003	0.219452
0.527479	0.427258
0.371372	0.557058
0.372861	0.326254
0.699636	0.559709
0.410967	0.246580
0.277816	0.143075
0.509908	0.828601
0.361601	0.846145
0.260029	0.304234
0.250290	0.222758
0.379873	0.809130
0.495958	1.480433
0.439298	0.437102
0.260119	0.262720
0.246474	0.170067
0.261371	0.162050
0.259518	0.188150
0.328786	0.244946
0.290337	0.155330
0.423549	0.453198
0.254909	0.151671
0.468547	1.262734
0.200276	0.178246
0.211505	0.260151
0.194443	0.145832
0.225173	0.123845
0.278521	0.132297
0.401092	0.272743
0.315926	0.154804
0.598605	0.867977
0.444131	0.730596
0.504568	0.996522
0.349033	0.225126
0.447617	0.534903
0.351309	0.446162
0.517110	0.555894
0.387935	0.164872
0.558175	0.644693
0.537583	0.317174
0.749485	1.150459
0.406823	0.449539
0.463376	0.386919
0.440148	0.145249
0.493798	0.335782
0.547803	0.251989
0.322043	0.146530
0.284870	0.307660
0.478365	0.176995
0.440724	0.566330
0.488290	0.341803
0.643215	1.460098
0.597638	0.741071
0.705223	0.592387
0.464755	0.185902
0.812795	0.727451
0.586638	0.343183
0.423132	0.583922
0.162442	0.142137
0.403665	0.635772
0.384121	0.253520
0.481558	0.459887
0.261600	0.166116
0.563994	0.555534
0.462711	0.175830
0.387645	0.593098
0.433693	0.331776
0.424345	0.507092
0.496029	1.398801
0.364200	0.406083
0.215126	0.185008
0.351678	0.356953
0.345462	0.654651
0.427718	0.695042
0.452416	1.167234
0.328222	0.177240
0.424329	0.316125
0.588813	0.482827
0.313030	0.197209
0.418194	0.273917
0.416666	0.164583
0.588752	0.629964
0.365415	0.290505
0.311373	0.372090
0.400154	0.274105
0.603896	0.492175
0.386767	0.214655
0.509895	0.405366
0.297002	0.176716
0.388734	0.163268
0.400703	0.222390
0.455352	0.314193
0.362212	0.191973
0.474453	0.296533
0.322472	0.206382
0.526760	2.009591
0.452063	0.214730
0.451365	0.995259
0.660675	1.602137
0.337893	0.131778
0.340474	0.188963
0.293726	0.215889
0.432052	0.598391
0.510716	0.783949
0.363656	0.529119
0.432206	1.015684
0.403555	0.417680
0.269899	0.277996
0.344371	0.635364
0.197795	0.101865
0.416270	1.117684
0.457919	1.305069
0.278582	0.497269
0.322891	0.366482
0.389122	0.770462
0.378365	0.389716
0.312392	0.295211
0.181969	0.177420
0.213147	0.188635
0.165336	0.170296
0.190534	0.211493
0.303069	0.387928
0.252753	0.251489
0.131333	0.106380
0.269195	0.514163
0.161787	0.214368
0.347095	0.798320
0.208440	0.264719
0.314967	0.340164
0.418203	0.219556
0.645378	0.687328
0.735222	0.360259
0.479666	0.196663
0.614635	0.430244
0.539562	0.426254
0.658201	0.487069
0.695312	0.403281
0.713449	0.759823
0.567886	0.477024
0.594701	0.517390
0.554212	0.504333
0.628204	0.687883
0.427168	0.136694
0.468138	0.215344
0.362694	0.130570
0.519385	0.685588
0.523772	0.531628
0.413211	0.299578
0.375792	0.308150
0.226866	0.186030
0.476963	0.507965
0.404211	0.507285
0.413325	0.210796
0.287142	0.143571
0.248020	0.178574
0.300888	0.201595
0.485679	0.242839
0.286123	0.134478
0.556924	1.033094
0.353471	0.332263
0.256091	0.137009
0.388889	0.427777
0.447106	0.440399
0.538738	0.511801
0.462610	0.467236
0.234450	0.287201
0.512974	0.430898
0.422087	0.943364
0.376348	0.218282
0.299138	0.215380
0.547046	1.400438
0.543418	0.891206
0.245469	0.311746
0.559866	1.304487
0.525065	0.740342
0.420949	0.524082
0.257777	0.146933
0.326099	0.490779
0.240085	0.304908
0.408147	0.816293
0.248023	0.358393
0.351525	0.453468
0.328897	0.532813
0.292819	0.477295
0.252666	0.342363
0.282152	1.299311
0.364217	0.717507
0.210044	0.261505
0.249138	0.164431
0.159769	0.139798
0.316726	0.365818
0.233020	0.159619
0.325575	0.465572
0.282312	1.812445
0.280537	0.375920
0.236905	0.361281
0.286482	0.286482
0.261170	0.421790
0.216812	0.161525
0.433958	0.653107
0.321375	0.355119
0.323628	0.616511
0.404438	0.523748
0.342103	0.525128
0.205034	0.183505
0.252346	0.167810
0.145632	0.144904
0.136082	0.248350
0.165222	0.231311
0.111545	0.171222
0.113245	0.115510
0.202744	0.674124
0.134863	0.327042
0.274127	0.785373
0.205634	0.432859
0.124042	0.211492
0.154752	0.265400
0.138566	0.204385
0.174430	0.612248
0.136267	0.266402
0.120019	0.301249
0.096101	0.284459
0.103573	0.284307
0.143432	0.355712
0.189031	0.371446
0.133588	0.151623
0.142869	0.165013
0.152289	0.109648
0.094577	0.138082
0.084430	0.138042
0.067681	0.154651
0.169083	0.177537
0.188436	0.408905
0.216979	1.894223
0.263077	0.180208
0.174309	0.131603
0.301200	0.198792
0.320116	0.251291
0.335115	0.366951
0.386589	0.349863
0.317004	0.244093
0.397494	0.594254
0.411427	0.672683
0.435994	0.350975
0.188218	0.130812
0.466068	0.251677
0.247059	0.155647
0.304067	0.266059
0.396491	0.541210
0.150682	0.206434
0.217675	0.218763
0.225556	0.230067
0.161652	0.131747
0.284298	1.204004
0.331363	0.523553
0.198508	0.222329
0.157295	0.449076
0.359892	0.777368
0.448428	0.495513
0.276849	0.508018
0.389514	0.539477
0.195916	0.143998
0.390978	0.447670
0.395051	0.353571
0.399470	0.415448
0.263475	0.126468
0.569872	0.743683
0.286750	0.331196
0.133079	0.083840
0.550764	0.572795
0.353612	0.242224
0.343751	0.261251
0.518168	0.650301
0.394685	0.394685
0.461012	0.424131
0.526454	0.381679
0.506199	0.453048
0.462109	0.605363
0.380909	0.858949
0.182202	0.130275
0.301327	0.227502
0.325185	0.338192
0.514212	1.267532
0.181643	0.220696
0.247644	0.459380
0.178672	0.173312
0.169234	0.220851
0.154650	0.412916
0.099743	0.380519
0.118879	0.449958
0.115534	0.135752
0.099155	0.140801
0.119773	0.121570
0.078979	0.120443
0.095497	0.243517
0.089480	0.489903
0.077150	0.122668
0.090780	0.221504
0.084767	0.131390
0.183428	0.217362
0.231175	0.276254
0.277570	0.378884
0.344695	0.747989
0.213821	0.320731
0.348273	0.849785
0.312753	0.525425
0.205097	0.272780
0.217292	0.196649
0.201489	0.155146
0.317707	0.444790
0.146780	0.190814
0.220671	0.250461
0.119074	0.135149
0.261401	0.379032
0.169224	0.226761
0.131608	0.313885
0.347036	0.473705
0.337035	0.323554
0.197408	0.128315
