Velocity(m/s)	Chord(mm)
0.113216	0.146049
0.148472	0.289521
0.130316	0.234569
0.174946	0.281664
0.159578	0.335913
0.110907	0.151388
0.171828	0.387471
0.204869	0.417933
0.217947	0.518713
0.131623	0.182298
0.104084	0.100962
0.147676	0.128478
0.323825	0.233154
0.235889	0.299579
0.245877	0.689684
0.142097	0.157017
0.120574	0.151923
0.098750	0.087394
0.152110	0.242616
0.140544	0.131409
0.086517	0.191203
0.109522	0.171402
0.111278	0.145774
0.125370	0.287725
0.125296	0.194209
0.152838	0.427181
0.149213	0.385717
0.090619	0.172629
0.151712	0.251842
0.148626	0.335153
0.111085	0.203286
0.093088	0.175937
0.066613	0.155208
0.098141	0.136907
0.261332	0.875464
0.104873	0.165699
0.097233	0.242111
0.075495	0.118905
0.068193	0.118655
0.132197	0.193668
0.127646	0.112967
0.130022	0.166428
0.140379	0.156522
0.169635	0.247668
0.217387	0.186953
0.229630	0.153852
0.201955	0.277688
0.160888	0.347517
0.173994	0.198353
0.172461	0.302669
0.169599	0.158575
0.108192	0.101160
0.164010	0.250115
0.248803	0.694159
0.191038	0.213007
0.162029	0.290843
0.119920	0.184677
0.172460	0.273349
0.144462	0.390047
0.090547	0.123144
0.169359	0.221014
0.115674	0.253904
0.085069	0.131006
0.115417	0.246991
0.144639	0.264690
0.124020	0.299509
0.107688	0.128687
0.087721	0.112722
0.200133	0.566376
0.155548	0.244211
0.148629	0.169437
0.214301	0.437174
0.119073	0.113120
0.202583	0.289694
0.126609	0.307659
0.157983	0.317546
0.166499	0.402096
0.112726	0.288580
0.086896	0.218544
0.156433	0.130622
0.146953	0.390894
0.109353	0.159656
0.079334	0.145975
0.082702	0.107927
0.079067	0.153390
0.053908	0.161455
0.065253	0.206525
0.075652	0.173244
0.125884	0.399054
0.135684	0.205561
0.107374	0.226559
0.102960	0.173488
0.161955	0.416223
0.129731	0.194596
0.191140	0.451090
0.176661	0.431936
0.089247	0.169568
0.171885	0.826767
0.105156	0.155105
0.090913	0.141824
0.123129	0.150218
0.143957	0.203699
0.271255	0.514029
0.097260	0.099691
0.220225	0.380989
0.154876	0.594725
0.113716	0.205826
0.120378	0.130008
0.111577	0.113250
0.165283	0.325608
0.099151	0.260272
0.134703	0.301061
0.113228	0.236081
0.114329	0.177209
0.069523	0.105327
0.137615	0.142432
0.105496	0.183564
0.129820	0.140855
0.144298	0.187588
0.225567	1.127834
0.126988	0.142861
0.149345	0.280022
0.136209	0.187288
0.156285	0.211766
0.230061	0.990411
0.094371	0.111830
0.086795	0.114136
0.305498	1.403761
0.127398	0.191096
0.095582	0.149108
0.124762	0.139733
0.112946	0.099957
0.085418	0.097377
0.081621	0.147326
0.148766	0.252158
0.172789	0.251408
0.131273	0.167373
0.156602	0.300676
0.128526	0.295610
0.140048	0.256287
0.268381	0.622644
0.167318	0.184050
0.125859	0.122713
0.329175	0.184338
0.231738	0.221310
0.151395	0.166534
0.104168	0.137502
0.167785	0.316275
0.118595	0.176113
0.140672	0.168103
0.207551	0.282269
0.172240	0.297114
0.126700	0.122265
0.259977	0.473157
0.139826	0.197854
0.193401	0.465129
0.194406	0.478238
0.215553	0.244653
0.258846	0.828307
0.134853	0.199583
0.138819	0.197123
0.111675	0.187055
0.107161	0.137167
0.161083	0.150613
0.176018	0.185699
0.243008	0.251513
0.273445	0.303524
0.250685	0.260712
0.240583	0.242989
0.310753	0.425731
0.253573	0.129322
0.187617	0.149156
0.218306	0.196475
