Velocity(m/s)	Chord(mm)
0.195860	0.190963
0.125414	0.129176
0.172601	0.226970
0.163813	0.212138
0.143873	0.206458
0.147359	0.193777
0.154927	0.130139
0.260842	0.532118
0.252366	0.287698
0.227438	0.457150
0.412912	0.549173
0.251097	0.282485
0.494453	0.669984
0.303067	0.231846
0.328692	0.723123
0.150482	0.116624
0.150877	0.235368
0.192129	0.256493
0.168776	0.410970
0.161504	0.209955
0.193240	0.348798
0.208601	0.536105
0.186147	0.503526
0.301442	0.480800
0.118629	0.198111
0.112536	0.218320
0.099230	0.161248
0.380763	2.073254
0.275760	0.402610
0.123444	0.138874
0.198577	0.317724
0.276642	0.531153
0.113862	0.149159
0.193433	0.308526
0.190454	0.318059
0.237999	0.468858
0.190998	0.274083
0.308041	0.485165
0.158290	0.136130
0.161504	0.200265
0.207885	0.266093
0.271089	0.531334
0.275615	0.697307
0.163770	0.214539
0.126722	0.100110
0.196623	0.225134
0.170559	0.237078
0.223326	0.297024
0.357899	0.415163
0.269367	0.478126
0.205997	0.187457
0.329869	0.245753
0.359703	0.580921
0.303259	0.280514
0.317038	0.199734
0.233157	0.257639
0.494428	0.566120
0.370159	0.377563
0.301434	0.336099
0.241092	0.183230
0.213967	0.151916
0.242103	0.209419
0.494945	0.940395
0.289602	0.322906
0.211546	0.131158
0.171893	0.140092
0.243389	0.220267
0.429311	0.482975
0.387335	0.530650
0.487005	0.555186
0.326500	0.226918
0.473530	0.871296
0.440063	0.349850
0.291175	0.129573
0.348732	0.200521
0.233737	0.081808
0.591887	0.799047
0.301718	0.162928
0.446157	0.379234
0.460347	0.340657
0.351343	0.223103
0.363299	0.301538
0.298819	0.239055
0.533925	0.974413
0.538432	1.410691
0.312465	0.346836
0.337327	0.261428
0.213061	0.178971
0.196592	0.175950
0.132657	0.148576
0.205634	0.415380
0.181294	0.323610
0.136751	0.185297
0.135804	0.124939
0.205884	0.240884
0.191053	0.284670
0.212394	0.216642
0.167683	0.140016
0.235806	0.442137
0.147397	0.175402
0.185117	0.277676
0.093698	0.162566
0.071245	0.122186
0.096234	0.118850
0.141879	0.306458
0.124283	0.149140
0.227331	0.462618
0.151623	0.368444
0.098416	0.173212
0.110706	0.180451
0.274336	1.052080
0.157318	0.213166
0.166601	0.326538
0.128669	0.355126
0.108007	0.168492
0.198635	0.469772
0.105448	0.245693
0.142937	0.280157
0.187669	0.387536
0.207684	0.423676
0.201720	0.301571
0.377347	1.656553
0.183299	0.246537
0.122972	0.172776
0.221150	0.812728
0.149718	0.279973
0.128592	0.341413
0.073143	0.164206
0.190209	0.382320
0.132284	0.174615
0.177665	0.319797
0.204862	0.377970
0.132271	0.390862
0.161972	0.387922
0.082004	0.132436
0.092508	0.139224
0.122197	0.303049
0.120650	0.136938
0.266768	0.454840
0.153218	0.186926
0.117962	0.163968
0.223819	0.369302
0.214755	0.510044
0.132651	0.249384
0.146963	0.221914
0.134275	0.230281
0.164801	0.269449
0.145451	0.127997
0.255529	0.636268
0.133054	0.200247
0.141421	0.171827
0.237877	0.393687
0.233391	0.390929
0.196228	0.258039
0.156166	0.317798
0.101111	0.152678
0.344020	1.446603
0.172456	0.237989
0.100431	0.125037
0.174808	0.245605
0.087340	0.126643
0.112199	0.285547
0.302318	0.864629
0.178983	0.417031
0.171429	0.391715
