Velocity(m/s)	Chord(mm)
0.229285	0.580092
0.182012	0.247537
0.077081	0.195014
0.155933	0.201153
0.245384	0.355807
0.157626	0.401946
0.142627	0.223211
0.136862	0.162866
0.179450	0.954673
0.143205	0.206932
0.215153	0.175350
0.384972	0.483140
0.261165	0.176286
0.310074	0.417049
0.322963	0.368178
0.321743	0.685312
0.282970	0.495197
0.336510	0.730226
0.225306	0.340212
0.176805	0.305873
0.128885	0.160461
0.188833	0.351229
0.159430	0.173779
0.132584	0.245944
0.269353	0.686851
0.220446	0.484982
0.312442	0.510843
0.287715	0.269013
0.372272	0.500706
0.357116	0.360688
0.482405	0.586122
0.272081	0.280244
0.320384	0.530235
0.287593	0.280403
0.272599	0.577909
0.319665	0.444335
0.233858	0.343771
0.188985	0.140794
0.268315	1.368405
0.242534	0.373503
0.222156	0.136626
0.262975	0.328718
0.177726	0.284362
0.277897	0.546067
0.160314	0.102601
0.197271	0.487258
0.181707	0.570560
0.117598	0.148174
0.122334	0.233659
0.224556	0.131365
0.206895	0.338274
0.151656	0.155447
0.117632	0.142923
0.347089	0.820865
0.336838	0.594519
0.310911	0.335784
0.343472	0.408731
0.227313	0.306872
0.221203	0.192447
0.142359	0.126700
0.200309	0.130201
0.211967	0.379421
0.237061	0.259582
0.215674	0.203811
0.233615	0.157690
0.238878	0.291431
0.229899	0.162079
0.308024	0.163253
0.381165	0.625110
0.323656	0.208758
0.452853	0.242277
0.474271	0.301162
0.306434	0.225229
0.459555	0.326284
0.530522	0.477470
0.309941	0.127076
0.521228	0.552501
0.340592	0.316751
0.297101	0.242138
0.291994	0.386892
0.347745	0.499014
0.190217	0.398505
0.146034	0.151875
0.224178	0.319454
0.194958	0.223227
0.141334	0.233908
0.229860	0.210322
0.184633	0.168939
0.231919	0.273664
0.282738	0.391592
0.246004	0.426817
0.342052	0.675552
0.274401	0.391021
0.248493	0.202522
0.178756	0.243108
0.127033	0.136561
0.198032	0.200012
0.308598	0.280824
0.204762	0.657288
0.116776	0.112105
0.214491	0.191970
0.253817	0.384532
0.201186	0.190121
0.176792	0.118450
0.218170	0.345800
0.160114	0.281000
0.194678	0.178131
0.243461	0.195986
0.201999	0.265629
0.328783	0.327139
0.188358	0.170464
0.215961	0.220280
0.234895	0.272478
0.205694	0.269459
0.185401	0.292934
0.146162	0.212666
0.117274	0.224580
0.166368	0.316099
0.303064	0.403076
0.349858	0.453066
0.275877	0.125524
0.286992	0.216679
0.306599	0.433837
0.336799	0.452995
0.376515	0.470643
0.200668	0.284948
0.283668	0.276576
0.256440	0.208998
0.196765	0.137736
0.211864	0.157839
0.228488	0.340447
0.140500	0.148930
0.084605	0.166249
0.187280	0.567457
0.160514	0.197432
0.180207	0.462230
0.122232	0.206572
0.149873	0.316231
0.087115	0.261346
0.132327	0.230911
0.159894	0.146303
0.159290	0.148140
0.178670	0.404689
0.112626	0.179075
0.140234	0.396160
0.171944	0.300901
0.122378	0.136451
0.163338	0.307892
0.238892	0.198280
0.162716	0.241633
0.117062	0.217150
0.061920	0.115790
0.128086	0.298441
0.132194	0.292811
0.158681	0.342752
0.134063	0.299631
0.124499	0.306890
0.113649	0.262528
0.159379	0.214365
0.081339	0.245236
0.141063	0.241924
0.097547	0.168268
0.273822	0.442222
0.153735	0.280566
0.112933	0.132697
0.173771	0.255443
0.097464	0.120856
0.258245	0.380912
0.168351	0.142257
0.137096	0.099394
0.246226	0.220372
0.205466	0.184919
0.256364	0.171764
0.260542	0.422079
0.180331	0.121724
0.297634	0.337814
0.202996	0.249685
0.260416	0.360676
0.328341	0.513854
0.150124	0.190657
0.104565	0.121818
0.132496	0.143095
0.116630	0.191274
0.165359	0.224061
0.181842	0.339136
0.201708	0.262220
0.137170	0.399165
0.196877	0.243143
0.301467	0.619514
0.125574	0.138759
0.150618	0.129532
0.172838	0.264442
0.327647	0.969834
0.217410	0.356552
0.162051	0.140174
0.182700	0.240251
0.344076	0.522996
0.244538	0.443837
0.278737	0.359570
0.242839	0.225840
0.264857	0.413178
0.162655	0.277327
0.134725	0.222297
0.156767	0.242989
0.148332	0.189865
0.089435	0.154275
0.134241	0.232909
0.253027	0.385866
0.102605	0.387335
0.078124	0.185154
0.089037	0.153589
0.115083	0.154211
0.174683	0.227961
0.206041	0.211192
0.133017	0.137007
0.286317	0.917647
0.291656	0.698516
0.082761	0.248282
0.245783	0.357614
0.109328	0.222482
0.263416	0.454392
0.183241	0.131018
0.304966	0.417803
0.249678	0.488121
0.223305	0.148498
0.359941	0.442727
0.274768	0.376432
0.242191	0.130783
0.281760	0.238087
0.224003	0.159042
0.154994	0.137170
0.176570	0.250729
0.257807	0.132770
0.207382	0.319368
0.253674	0.240991
0.163262	0.126528
0.170367	0.138849
0.202426	0.160928
0.397537	0.427352
0.186075	0.110715
0.173159	0.125540
0.101774	0.175561
0.147946	0.130192
0.189050	0.157857
0.361989	0.333030
0.356493	0.827064
0.394079	0.415753
0.234805	0.171408
0.285838	0.195799
0.376978	0.814272
