Velocity(m/s)	Chord(mm)
0.213916	0.171132
0.182709	0.129723
0.157304	0.151798
0.261875	0.231760
0.138676	0.108168
0.246904	1.172793
0.130461	0.097846
0.205993	0.140075
0.150753	0.244974
0.167479	0.277177
0.145374	0.149009
0.144664	0.148280
0.226811	0.121344
0.246653	0.172657
0.389773	0.348846
0.430970	0.674467
0.277332	0.314772
0.183810	0.109367
0.246564	0.380942
0.275736	0.372243
0.224552	0.279567
0.296521	0.382512
0.208911	0.238159
0.230268	0.177307
0.231791	0.205135
0.111285	0.110172
0.326871	0.665182
0.145738	0.173428
0.129085	0.099395
0.232741	0.230414
0.165523	0.183730
0.247287	0.326419
0.120525	0.119922
0.110468	0.079537
0.276903	0.408431
0.254419	0.197175
0.171525	0.300169
0.160494	0.179753
0.182934	0.370440
0.174266	0.250071
0.213730	0.226554
0.126037	0.120995
0.115973	0.180338
0.112238	0.091474
0.106070	0.136830
0.152456	0.325494
0.094987	0.142480
0.112319	0.153316
0.313359	0.581282
0.267457	0.413221
0.192209	0.191248
0.173083	0.096061
0.247270	0.835773
0.294791	0.141500
0.268621	0.343835
0.135674	0.096329
0.179447	0.214439
0.135848	0.097811
0.217377	0.165207
0.139757	0.166311
0.102933	0.118373
0.123637	0.261492
0.107838	0.214598
0.230289	0.475547
0.143556	0.184470
0.164234	0.148632
0.230765	0.124613
0.323654	0.318799
0.231636	0.192258
0.294462	0.310657
0.282306	0.220198
0.268062	0.285486
0.276136	0.314795
0.219240	0.372708
0.339947	0.511620
0.137919	0.271700
0.347264	0.757035
0.176578	0.140379
0.260046	0.456381
0.147212	0.164877
0.427558	0.932075
0.206481	0.236421
0.215347	0.285335
0.255250	0.255250
0.225306	0.132931
0.249572	0.384341
0.154637	0.272934
0.235633	0.300432
0.197746	0.292665
0.204555	0.367176
0.222129	0.487572
0.166993	0.248820
0.137182	0.103572
0.202815	0.250476
0.119093	0.162562
0.194535	0.340436
0.179472	0.141783
0.187634	0.341494
0.168072	0.117650
0.178856	0.262025
0.248135	0.601727
0.185401	0.166861
0.126197	0.154591
0.112425	0.107366
0.164667	0.163844
0.121736	0.103475
0.207152	0.299335
0.161127	0.401206
0.158312	0.128233
0.213896	0.197854
0.358533	1.378560
0.177006	0.152225
0.290560	0.235354
0.243859	0.320675
0.343341	0.863501
0.154419	0.148242
0.152240	0.320465
0.065189	0.150261
0.095821	0.140378
0.099500	0.146264
0.183350	0.607805
0.145444	0.225438
0.057918	0.157248
0.083450	0.094716
0.065063	0.173067
0.108235	0.196447
0.085655	0.141759
0.218139	0.864923
0.166791	0.158452
0.130680	0.274428
0.228594	0.373751
0.206468	0.286991
0.192996	0.354147
0.198727	0.200714
0.105977	0.113395
0.271218	0.364789
0.179795	0.122260
0.136259	0.125358
0.125200	0.336787
0.143692	0.236373
0.147970	0.557105
0.032346	0.164641
0.114513	0.278267
0.143131	0.548193
0.119400	0.202383
0.096897	0.122090
0.064812	0.088144
0.147664	0.191225
0.174483	0.194549
0.184338	0.408308
0.084233	0.144880
0.107063	0.132758
0.178056	0.135323
0.201179	0.350052
0.142975	0.124388
0.109192	0.216200
0.099681	0.197369
0.162950	0.240351
0.164827	0.196968
0.120378	0.167928
0.129432	0.181204
0.127298	0.129844
0.081311	0.119121
0.110605	0.147658
0.082651	0.184725
0.148177	1.041688
0.133118	0.115813
0.223320	0.342796
0.182605	0.249256
0.091737	0.131184
0.156249	0.510934
0.091626	0.251972
0.094497	0.107727
0.092232	0.227352
0.099194	0.134407
0.064406	0.104338
0.127677	0.340260
0.186966	0.340277
0.108159	0.112485
0.111178	0.139529
0.115591	0.360065
0.102954	0.226499
0.089534	0.166086
0.058556	0.125602
0.075833	0.188067
0.092466	0.346287
0.087658	0.140691
0.046154	0.129232
0.076653	0.123028
0.093133	0.170898
0.072970	0.133901
0.076673	0.105425
0.080013	0.204032
0.111624	0.166320
0.212365	0.320671
0.159965	0.254344
0.211833	1.303835
0.275122	0.349405
0.205266	0.154976
0.228497	0.173658
0.212441	0.391953
0.217675	0.348280
0.127501	0.251815
0.157038	0.210431
0.198089	0.272373
0.152566	0.170874
0.160313	0.153900
0.131506	0.113095
0.203464	0.585977
0.163634	0.227451
0.241567	0.526615
0.152797	0.122238
0.253885	0.335128
0.325012	0.994538
0.278033	0.499070
0.324621	0.618403
0.265275	0.427092
0.158513	0.320989
0.171727	0.239559
0.129794	0.170679
0.068378	0.089233
0.099292	0.147449
0.096374	0.151307
0.131964	0.141861
0.095176	0.139433
0.146227	0.149883
0.074228	0.088703
0.154313	0.191348
0.224391	0.361269
0.172581	0.129435
0.112589	0.132292
0.139510	0.255304
0.127401	0.212760
0.044182	0.133871
0.063027	0.115339
0.056935	0.092520
0.072522	0.434771
0.084307	0.128568
0.092641	0.125065
0.081840	0.114985
0.074308	0.109604
0.060366	0.114091
0.064274	0.109267
0.118535	0.168320
0.057268	0.083038
0.059864	0.092790
0.084837	0.141254
0.081438	0.157582
0.082363	0.238029
0.104077	0.185778
0.104133	0.251482
0.082914	0.187800
0.079696	0.123130
0.075966	0.085461
0.158457	0.549053
0.156212	0.248377
0.160833	0.270199
0.177658	0.207860
0.197301	0.144030
0.132900	0.140874
0.171031	0.331800
0.163996	0.230414
0.151380	0.202849
0.169421	0.245660
0.155047	0.153497
0.161848	0.143236
0.301749	0.535605
0.081228	0.071074
0.215343	0.341319
0.181253	0.325349
0.167315	0.247626
0.245208	0.540683
0.265234	0.888535
0.292215	0.490921
0.123810	0.105857
0.285410	0.323940
0.228865	0.121298
0.376680	0.794794
0.343697	0.732074
0.256178	0.504671
0.203956	0.174382
0.251922	0.269556
0.287402	0.214114
0.234804	0.230108
0.257599	0.264039
0.167908	0.242627
0.119551	0.193673
0.250650	0.250650
0.272479	0.450953
0.363870	0.733198
0.373578	0.523009
0.321007	0.383603
0.264375	0.272307
0.241268	0.185777
0.225107	0.181211
0.277857	0.355657
0.187758	0.145513
0.246048	0.184536
0.290741	0.440473
0.448462	1.143577
0.369997	0.588295
0.242920	0.229559
0.180271	0.205509
0.178547	0.183903
0.145806	0.166219
0.201066	0.195034
0.274610	0.322667
0.212209	0.171890
0.296528	0.262427
0.231253	0.164190
0.272204	0.502216
0.117784	0.135452
0.134020	0.129329
0.156759	0.333896
0.157102	0.175168
0.135042	0.145170
0.262733	0.229892
0.215501	0.143308
0.224090	0.221849
0.260757	0.256845
0.281949	0.173399
0.249843	0.306057
0.215012	0.165559
0.173483	0.111029
0.146998	0.119804
0.285516	0.483949
0.268810	0.295691
0.147152	0.119929
0.254109	0.462478
0.232831	0.443544
0.224963	0.332945
0.212721	0.698789
0.129503	0.283611
0.158375	0.169461
0.084693	0.116453
0.135571	0.425693
0.102354	0.087512
0.157650	0.327125
0.156742	0.283703
0.123924	0.213149
0.177984	0.342619
0.107754	0.115836
0.162483	0.798605
0.159948	0.115163
0.405419	0.891923
0.359604	0.629306
0.287844	0.351170
0.264440	0.840920
0.138068	0.374855
0.155621	0.151731
0.131387	0.174745
0.077030	0.077415
0.259450	0.194588
0.394681	0.495324
0.474170	0.666209
0.408990	0.290383
0.381506	0.209828
0.398747	0.436628
0.386226	0.243323
0.219916	0.103360
0.280885	0.105332
0.286956	0.238174
0.445745	0.637415
0.418336	0.619137
0.449474	0.573079
0.281599	0.211199
0.464345	0.355224
0.417232	0.271201
0.226280	0.130111
0.452771	1.147775
0.467438	0.846064
0.490281	0.480475
0.262486	0.095807
0.333725	0.292009
0.355774	1.044197
0.263022	0.144662
0.359940	0.556108
0.372178	0.310769
0.342766	0.502153
0.421659	0.668330
0.398298	0.537703
0.206705	0.141593
0.441815	0.388797
0.252103	0.182775
0.379287	0.692199
0.286776	0.186404
0.139882	0.167159
0.231560	0.243138
0.178600	0.150024
0.171266	0.158421
0.126813	0.145835
0.163067	0.279660
0.117917	0.176875
0.203580	0.601580
0.075426	0.125584
0.178381	0.123975
0.358715	0.493233
0.331423	0.338052
0.376961	0.985752
0.227159	0.180592
0.212470	0.200784
0.174080	0.137523
0.355138	0.379997
0.265440	0.172536
0.259218	0.177564
0.384257	0.449580
0.297564	0.227637
0.309453	0.383721
0.469019	0.354110
0.203831	0.110069
0.368332	0.611432
0.222359	0.221247
0.264922	0.302011
0.369236	0.315697
0.340947	0.894987
0.204685	0.286559
0.206615	0.135333
0.186537	0.199595
0.179487	0.211795
0.253116	0.246788
0.163028	0.308938
0.224610	0.162842
0.461488	0.761455
0.381245	0.541368
0.184086	0.101247
0.401351	0.288973
0.216285	0.210878
0.253830	0.343940
0.301138	0.853726
0.233069	0.120030
0.382497	1.017443
0.137173	0.141289
0.204409	0.198277
0.272778	0.525099
0.351904	0.385335
0.213852	0.361411
0.170195	0.129348
0.255706	0.250592
0.393488	1.575921
0.337539	0.509684
0.386352	0.376693
0.158148	0.201639
0.216150	0.363132
0.299293	0.528252
0.222452	0.410425
0.218833	0.194761
0.134358	0.108830
0.150454	0.089520
0.118803	0.149098
0.154807	0.170288
0.230733	1.100598
0.254897	0.158036
0.280342	0.944753
0.165226	0.169356
0.262684	0.348056
0.289369	0.917300
0.259780	0.305241
0.122224	0.099613
0.317790	0.510053
0.137238	0.087146
0.274232	0.974895
0.214930	0.174093
0.321584	0.258875
0.251198	0.258734
0.206268	0.243396
0.254994	0.395241
0.269044	0.149320
0.326232	0.446937
0.137435	0.187599
0.086743	0.108428
0.163327	0.428734
