Velocity(m/s)	Chord(mm)
0.149333	0.360638
0.178765	0.575625
0.112380	0.425919
0.135910	0.399576
0.203578	2.785971
0.137898	0.625369
0.073770	0.178155
0.072713	0.211232
0.122152	0.182618
0.116251	0.318526
0.271382	1.746344
0.162906	0.203633
0.236973	1.098368
0.142934	0.425228
0.124611	0.234269
0.102442	0.301691
0.156311	0.991794
0.144017	0.441412
0.141910	0.366837
0.071090	0.237795
0.096924	0.416773
0.067183	0.174675
0.107699	0.147548
0.189851	0.553416
0.102541	0.192264
0.106725	0.169159
0.203414	1.272356
0.094600	0.162239
0.183087	0.482433
0.185299	1.011733
0.112223	0.153184
0.077463	0.269959
0.146640	1.021345
0.083373	0.105049
0.165055	0.365597
0.178486	0.829069
0.135676	0.355470
0.089488	0.109622
0.169132	0.654541
0.116785	0.363203
0.157455	0.418829
0.140934	0.305827
0.126997	0.248280
0.168821	0.273489
0.146371	0.194674
0.071840	0.109914
0.181356	0.431628
0.153828	0.150751
0.176761	0.323472
0.130116	0.148333
0.173970	0.207025
0.116773	0.227707
0.064386	0.090140
0.165687	0.722396
0.134185	0.202619
0.089179	0.158738
0.102939	0.152350
0.134632	0.303596
0.135675	0.577975
0.166333	0.750163
0.116620	0.197088
0.202061	0.564760
0.100580	0.121198
0.156461	0.711896
0.101193	0.206940
0.093033	0.233977
0.125483	0.315591
0.215445	0.538613
0.071734	0.104732
0.067854	0.114673
0.182977	0.251593
0.240403	0.586583
0.176607	0.459179
0.094165	0.142190
0.149450	0.437888
0.115720	0.236069
0.123499	0.349502
0.187804	0.337108
0.290397	2.644069
0.158786	0.177046
0.146893	0.180678
0.135042	0.322751
0.091051	0.154787
0.128679	1.004981
0.076206	0.204612
0.129904	0.383865
0.090174	0.285851
0.106616	0.234023
0.105035	0.389681
0.138166	0.468383
0.089985	0.235761
0.091347	0.179497
0.122167	0.525318
0.052467	0.108870
0.221287	2.729581
0.118013	0.545812
0.148567	0.188681
0.161841	0.470956
0.178209	1.100442
0.141614	0.536716
0.149842	0.190299
0.131290	0.634787
0.169218	0.459428
0.151757	0.200319
0.082018	0.108674
0.131871	0.332975
0.129214	0.190591
0.090617	0.135019
0.146193	0.342823
0.090200	0.202498
0.104695	0.206249
0.095598	0.172554
0.199512	0.464862
0.159407	0.775517
0.110205	0.333370
0.160874	0.644301
0.123003	0.166053
0.260585	1.282076
0.142144	0.345409
0.074657	0.147821
0.132535	0.385677
0.111965	0.208814
0.109234	0.242500
0.153761	0.291376
0.179782	0.415297
0.090476	0.165119
0.071855	0.188259
0.197289	1.121588
0.244014	1.672714
0.138947	0.362652
0.074570	0.107008
0.066896	0.146168
0.224597	1.403733
0.087496	0.125556
0.084269	0.162217
0.188098	0.634831
0.082888	0.187741
0.114268	0.153119
0.108244	0.415658
0.128368	0.280483
0.071999	0.157679
0.146065	0.413365
0.208309	0.893646
0.189409	0.439430
0.236481	0.850150
0.185954	0.449079
0.173101	0.272634
0.134770	0.716303
0.072729	0.233825
0.072336	0.209775
0.218353	0.413779
0.230024	0.823486
0.230088	0.270353
0.214878	0.311574
0.284060	0.793949
0.207682	0.410173
0.167601	0.269000
0.351796	1.685103
0.187246	0.183501
0.314724	0.717571
0.181014	0.162912
0.365579	0.948677
0.266734	0.778863
0.286397	1.046783
0.153042	0.248694
0.257521	0.218893
0.234597	0.710829
0.202845	0.674460
0.256337	1.707206
0.175358	0.254269
0.168416	0.895132
0.136735	0.240654
0.150425	0.211347
0.203181	0.496777
0.126595	0.284207
0.114077	0.641681
0.102804	0.316121
0.174087	1.393563
0.116605	0.142258
0.153424	0.449532
0.132151	0.529264
0.128146	1.247505
0.121603	0.236518
0.168501	0.181981
0.205435	1.169953
0.111259	0.213061
0.140579	0.380266
0.098955	0.216216
0.068785	0.110401
0.174068	0.557889
0.134811	0.150314
0.133660	0.268656
0.317466	1.346054
0.090134	0.108612
0.145328	0.111902
0.181068	0.283371
0.159332	0.168892
0.179989	0.281682
