Velocity(m/s)	Chord(mm)
0.108597	0.192217
0.192322	0.595237
0.102576	0.236437
0.076894	0.099578
0.089653	0.177513
0.173453	1.104894
0.110057	0.287250
0.070051	0.219258
0.095302	0.419330
0.088918	0.227631
0.052234	0.145211
0.064092	0.089729
0.184955	0.290379
0.087518	0.233235
0.140544	0.286710
0.055506	0.163466
0.074706	0.190501
0.060524	0.246331
0.088020	0.283425
0.094012	0.416473
0.161093	1.331435
0.171914	0.948967
0.155811	1.448267
0.072240	0.152066
0.052497	0.238859
0.033839	0.112345
0.047235	0.204762
0.163346	1.682461
0.095918	0.265693
0.095782	1.328500
0.099877	0.246196
0.085069	0.543592
0.062643	0.412504
0.082144	0.324470
0.069936	0.203515
0.098376	0.266599
0.087751	0.188664
0.095309	0.471305
0.036284	0.098510
0.057705	0.213798
0.061349	0.225764
0.084794	0.175099
0.047760	0.168830
0.151686	1.304496
0.286843	1.221949
0.138261	0.472160
0.054193	0.116515
0.210798	0.650312
0.084491	0.193906
0.214000	0.924482
0.065817	0.097080
0.253207	1.183742
0.074464	0.152278
0.079377	0.125416
0.044698	0.108393
0.177371	1.314322
0.056380	0.158429
0.085814	0.229983
0.092822	0.188429
0.140586	0.430895
0.201195	0.745428
0.218499	1.172247
0.177401	0.706944
0.222846	1.136512
0.210208	1.249685
0.243664	2.355015
0.104377	0.231195
0.087611	0.235674
0.123625	0.240451
0.207910	1.338937
0.059189	0.164248
0.196594	0.925955
0.081070	0.245236
0.258210	1.558300
0.118205	0.418446
0.076744	0.189174
0.072486	0.326551
0.086161	0.185246
0.067635	0.194450
0.135909	0.445103
0.095703	0.178007
0.155421	0.883568
0.049413	0.148981
0.120872	0.311849
0.076885	0.171454
0.114725	0.435381
0.221315	1.758347
0.138826	0.381077
0.073298	0.130470
0.229156	2.431347
0.090867	0.165379
0.054917	0.182051
0.043682	0.109859
0.168189	0.380948
0.152762	0.545361
0.080059	0.295418
0.070816	0.134904
0.188761	0.214243
0.077201	0.197249
0.126728	0.193894
0.051888	0.133094
0.070023	0.230725
0.159996	0.428788
0.138252	0.930433
0.130010	0.364678
0.175207	1.256232
0.135519	0.331343
0.143940	0.409510
0.106699	0.399053
0.108646	0.226527
0.127624	1.161378
0.070397	0.165081
0.084739	0.340227
0.069800	0.355981
0.057546	0.139837
0.079542	0.596964
0.115411	0.160998
0.061817	0.154542
0.100259	0.477736
0.053366	0.857061
0.052994	0.100424
0.198508	0.571702
0.067401	0.160753
0.117697	0.928626
0.071818	0.149740
0.114048	0.793771
0.067763	0.218535
0.034462	0.130268
0.148376	0.351650
0.228641	0.956864
0.150360	0.327786
0.193266	2.450609
0.090975	0.181040
0.222069	1.075925
0.183367	0.430913
0.102718	0.251660
0.192281	0.400905
0.084507	0.103944
0.198990	0.296495
0.077190	0.107680
0.075933	0.147689
0.141902	0.637850
0.049535	0.140183
0.089641	0.701439
0.083935	0.263976
0.182131	1.275826
0.122016	0.452679
0.115471	0.258077
0.095629	0.206558
0.310356	2.288877
0.225549	0.446588
0.336787	0.594429
0.275983	0.511948
0.215603	0.395632
0.195334	0.876072
0.105429	0.088560
0.159873	0.443648
0.238451	0.480479
0.212840	0.383112
0.147022	0.155109
0.143367	0.140500
0.116175	0.111528
0.154287	0.265374
0.156042	0.222360
0.149647	0.484855
0.220915	0.479384
0.142085	0.164109
0.154127	0.396107
0.155508	0.247258
0.322571	0.488695
0.132565	0.141181
0.287712	0.897660
0.288997	0.313562
0.181693	0.823069
0.216972	1.091372
0.171197	0.205437
0.129252	0.158980
0.200095	0.938445
0.151490	0.409782
0.169196	0.212341
0.332803	1.109897
0.305122	0.988596
0.244872	1.441074
0.204125	0.307208
0.098174	0.149716
0.257049	0.858542
0.191290	0.274501
0.175121	0.454438
0.195222	0.889237
0.164602	0.217275
0.250868	0.929466
0.150336	0.284135
0.084522	0.144110
0.152164	0.691586
0.165192	0.422890
0.077136	0.281545
0.087544	0.174212
0.279490	2.382653
0.173710	0.585402
0.230250	1.188091
0.123248	0.218766
0.280728	3.437517
0.125658	0.307862
0.145658	0.534566
0.126099	0.204910
0.118740	0.246385
