Velocity(m/s)	Chord(mm)
0.288143	0.978244
0.139955	0.239322
0.276119	0.439030
0.250058	0.416347
0.107923	0.149473
0.088864	0.115968
0.190357	0.429256
0.137364	0.169645
0.152742	0.284864
0.108143	0.134638
0.095350	0.196422
0.102917	0.182677
0.171795	0.401999
0.089619	0.112024
0.156649	0.440966
0.156912	0.174956
0.103679	0.144114
0.118922	0.193248
0.194647	0.363990
0.155498	0.217697
0.123569	0.164964
0.185787	0.350209
0.147433	0.143747
0.154391	0.153619
0.125923	0.357622
0.116029	0.151418
0.143856	0.210030
0.204773	0.396236
0.185609	0.314607
0.214384	0.494155
0.233906	0.418691
0.153515	0.116672
0.193485	0.337631
0.170056	0.279741
0.179376	0.200902
0.087324	0.105226
0.116136	0.128330
0.172997	0.294096
0.219836	0.441871
0.217044	0.529586
0.137421	0.195138
0.162272	0.268560
0.107251	0.124948
0.203441	0.305161
0.145683	0.322688
0.119020	0.133303
0.136525	0.135160
0.185249	0.366793
0.193123	0.421007
0.227712	0.280086
0.273010	0.851792
0.156621	0.208306
0.144854	0.139784
0.107016	0.126279
0.133718	0.133049
0.110305	0.150015
0.156845	0.287026
0.191481	0.378174
0.126325	0.216648
0.128575	0.178720
0.137499	0.288060
0.197383	0.390818
0.136256	0.148519
0.131427	0.218826
0.115692	0.217501
0.150299	0.382511
0.094370	0.146273
0.154958	0.384296
0.109802	0.189958
0.172884	0.309462
0.141159	0.209621
0.131505	0.190025
0.077883	0.105142
0.130448	0.179367
0.163385	0.328404
0.084744	0.163133
0.127055	0.207100
0.101947	0.138138
0.152536	0.411085
0.107296	0.199571
0.148801	0.359354
0.124115	0.202307
0.127184	0.323047
0.101457	0.148635
0.125545	0.200244
0.088587	0.115163
0.213175	0.806866
0.067127	0.126869
0.112029	0.327684
0.154046	0.331200
0.181369	0.623909
0.063310	0.273501
0.089400	0.176565
0.062482	0.097159
0.084119	0.150993
0.087255	0.135245
0.155377	0.271910
0.109097	0.202921
0.133041	0.278721
0.080904	0.168685
0.088691	0.131263
0.142659	0.317415
0.152432	0.343734
0.145068	0.322051
0.118974	0.262933
0.107025	0.231174
0.109300	0.181439
0.124331	0.364913
0.059725	0.114075
0.077273	0.101228
0.164279	0.396734
0.114197	0.187284
0.152931	0.213339
0.174117	0.364774
0.128975	0.128330
0.096370	0.161901
0.081652	0.172694
0.100786	0.203084
0.173713	0.396065
0.178319	0.316516
0.199306	0.392633
0.127636	0.171670
0.154412	0.207685
0.132222	0.170566
0.161204	0.267599
0.185213	0.374131
0.207080	0.285770
0.180112	0.180112
0.178011	0.241205
0.168216	0.237184
0.193118	0.382373
0.138992	0.154976
0.177095	0.350648
0.137468	0.252255
0.140884	0.194420
0.098368	0.252807
0.138339	0.177074
0.127975	0.165088
0.134331	0.159182
0.102412	0.136208
0.127398	0.177721
0.104960	0.198900
0.117814	0.219723
0.117853	0.331168
0.137012	0.152084
0.119976	0.247151
0.079694	0.105595
0.137459	0.316842
0.204996	0.347468
0.113301	0.128596
0.139359	0.217401
0.153123	0.377449
0.140231	0.304302
0.125685	0.210522
0.105627	0.210199
0.100642	0.202793
0.132438	0.333744
0.068260	0.089761
0.190072	0.471379
0.102966	0.141063
0.093285	0.129666
0.106216	0.138081
0.236926	0.566254
0.128158	0.101245
0.081291	0.105271
0.107488	0.172518
0.152461	0.405546
0.099658	0.189848
0.113982	0.346505
0.145446	0.374524
0.102502	0.119415
0.173585	0.471284
0.133134	0.218339
0.138488	0.132949
0.213921	0.436400
0.112598	0.143562
0.177249	0.262329
0.185349	0.413329
0.088312	0.110390
0.167328	0.291987
0.172206	0.381437
