Velocity(m/s)	Chord(mm)
0.220704	0.176563
0.299086	0.165993
0.284837	0.327563
0.219662	0.121912
0.159608	0.312034
0.149316	0.325509
0.158631	0.302986
0.143639	0.199658
0.178466	0.406009
0.119463	0.186959
0.096675	0.146946
0.096804	0.259918
0.108266	0.240891
0.119618	0.313998
0.156691	0.262458
0.134656	0.158894
0.160679	0.331803
0.094905	0.160863
0.106614	0.213228
0.105584	0.208528
0.054662	0.108778
0.123844	0.214249
0.122695	0.201220
0.082833	0.125493
0.125498	0.236563
0.191853	0.407687
0.157168	0.243610
0.163134	0.174554
0.211982	0.563873
0.151219	0.195828
0.194690	0.391326
0.184886	0.235729
0.120981	0.231073
0.079939	0.137096
0.084708	0.117744
0.123195	0.231606
0.164545	0.294535
0.156152	0.238132
0.197081	0.255220
0.125481	0.176929
0.193137	0.415245
0.161801	0.214386
0.154783	0.178001
0.129419	0.239425
0.099362	0.209157
0.094313	0.161747
0.072335	0.108503
0.174106	0.256807
0.153938	0.185495
0.154597	0.221846
0.106312	0.225381
0.068767	0.130658
0.110438	0.286586
0.098894	0.195315
0.095906	0.147695
0.121730	0.416318
0.122131	0.355401
0.093006	0.285995
0.119021	0.270177
0.089360	0.209996
0.115516	0.244894
0.096347	0.206183
0.087472	0.159637
0.178865	0.401551
0.117047	0.186105
0.105821	0.193123
0.089900	0.146537
0.101592	0.139689
0.069881	0.116701
0.111147	0.189505
0.133631	0.228510
0.100687	0.125859
0.092612	0.129657
0.121445	0.258678
0.147082	0.207386
0.110716	0.276789
0.132766	0.261550
0.169980	0.431748
0.152506	0.347714
0.114045	0.209843
0.100487	0.155252
0.124104	0.328876
0.134367	0.250595
0.089220	0.172641
0.167354	0.394120
0.106529	0.191752
0.075767	0.122363
0.114305	0.107447
0.197713	0.370711
0.127091	0.210971
0.194564	0.609958
0.150408	0.230124
0.094109	0.104461
0.145382	0.239880
0.142223	0.274491
0.124561	0.176254
0.113984	0.142480
0.108696	0.184783
