Velocity(m/s)	Chord(mm)
0.107128	0.164442
0.108430	0.138248
0.203976	0.208055
0.263232	0.214534
0.269727	0.276470
0.336296	0.388422
0.303494	0.229138
0.448780	0.394926
0.309899	0.275810
0.396266	0.521089
0.565356	1.687587
0.317106	0.699219
0.624744	1.368190
0.281173	0.186980
0.628493	0.744764
0.577402	0.655351
0.196924	0.128985
0.407426	0.232233
0.685298	1.768068
0.264699	0.226318
0.479942	0.412750
0.296820	0.117244
0.316927	0.274142
0.471946	0.906136
0.429069	0.300349
0.412115	0.807746
0.360244	0.219749
0.301077	0.219786
0.628840	0.509361
0.335976	0.492204
0.456872	0.420322
0.232605	0.132585
0.366416	0.316950
0.387311	0.313722
0.466423	0.557375
0.311749	0.143404
0.274571	0.159251
0.244520	0.193171
0.311977	0.205905
0.343450	1.159143
0.323909	0.435658
0.194933	0.200781
0.338797	0.531912
0.244246	0.377360
0.179272	0.616697
0.151395	0.205140
0.216612	0.733231
0.103644	0.101571
0.079957	0.111540
0.102071	0.111258
0.115403	0.195031
0.080299	0.127274
0.147236	0.265025
0.146964	0.293928
0.096619	0.310631
0.116265	0.316821
0.117085	0.209583
0.065241	0.228994
0.081060	0.098893
0.065034	0.192826
0.078959	0.167788
0.085137	0.117489
0.104200	0.208400
0.083162	0.101873
0.167177	0.460573
0.063601	0.101443
0.132895	0.258481
0.110518	0.307792
0.095298	0.322107
0.099507	0.193043
0.112617	0.094598
0.268350	0.256275
0.138890	0.109723
0.143267	0.179801
0.289104	0.544961
0.191189	0.620408
0.118390	0.166338
0.205530	0.504576
0.088336	0.188596
0.116967	0.182469
0.148626	0.326233
0.126549	0.318904
0.115219	0.117523
0.179374	0.370406
0.162315	0.220748
0.247441	0.621078
0.176186	0.141830
0.248669	0.356840
0.214751	0.287767
0.194131	0.341670
0.283619	0.502006
0.137307	0.097488
0.158704	0.163465
0.104842	0.094882
0.101900	0.125847
0.186250	0.393918
0.152844	0.285818
0.176759	0.126383
0.127927	0.163107
0.186940	0.208438
0.325480	0.703036
0.251503	0.213777
0.542176	1.705145
0.471279	1.027389
0.411419	0.975063
0.228043	0.139107
0.514361	0.329191
0.234121	0.189638
0.348570	0.430484
0.197051	0.168479
0.188919	0.259764
0.173496	0.261978
0.261969	0.923442
0.247157	0.821796
0.153295	0.164792
0.171139	0.213924
0.189481	0.302221
