Velocity(m/s)	Chord(mm)
0.097622	0.150826
0.130014	0.315285
0.107183	0.115221
0.138480	0.139173
0.232199	0.633905
0.103388	0.153531
0.212213	0.241923
0.395349	2.324653
0.145057	0.245872
0.192188	0.212368
0.114099	0.174572
0.294995	0.554591
0.199008	0.646777
0.210949	0.179307
0.250091	0.217579
0.208515	0.166812
0.233881	0.485303
0.270841	0.552515
0.150012	0.146262
0.219635	0.490883
0.149864	0.277998
0.105513	0.137695
0.142533	0.226628
0.129551	0.164530
0.143255	0.153999
0.133943	0.200915
0.180581	0.221212
0.159721	0.293089
0.074949	0.077572
0.133408	0.237467
0.103260	0.173476
0.187104	0.240429
0.451830	2.098752
0.143469	0.239594
0.177304	0.359040
0.148736	0.190382
0.163694	0.268458
0.127129	0.169081
0.145650	0.399081
0.103573	0.098912
0.200567	0.687945
0.167958	0.460204
0.174168	0.246447
0.150523	0.222774
0.180667	0.124660
0.222867	0.291956
0.274645	0.705838
0.179948	0.376991
0.101554	0.118819
0.226791	0.593057
0.178079	0.149587
0.363094	1.047526
0.219184	0.299187
0.244745	0.789303
0.237406	0.244528
0.149941	0.179179
0.220814	0.458188
0.199702	0.183726
0.244891	0.500802
0.219475	0.212890
0.099804	0.128747
0.211026	0.266948
0.222222	0.578889
0.158456	0.164002
0.260962	0.544106
0.266979	0.556651
0.253038	0.169535
0.196747	0.147560
0.275760	0.303336
0.268875	0.537749
0.189634	0.206701
0.230823	0.288529
0.203800	0.264940
0.245990	1.303745
0.141006	0.201639
0.185649	0.425136
0.148792	0.332551
0.230335	0.374294
0.170798	0.172506
0.113611	0.199955
0.089570	0.181379
0.095916	0.090640
0.092172	0.080190
0.134617	0.251060
0.126522	0.187885
0.152877	0.354675
0.097059	0.159177
0.125788	0.149687
0.129747	0.183593
0.093120	0.278895
0.130644	0.227974
0.156021	0.618623
0.124721	0.288106
0.098410	0.140234
0.220688	1.992809
0.152137	0.314163
0.112699	0.150453
0.150178	0.254552
0.114304	0.120019
0.175115	0.356360
0.251930	0.350183
0.246800	0.658955
0.166021	0.153570
0.279678	0.383159
0.202105	0.344588
0.318444	0.648033
0.290913	0.667645
0.265770	0.176737
0.225734	0.310384
0.171487	0.130330
0.156633	0.270975
0.207037	0.185299
0.155480	0.199792
0.233332	0.342997
0.183873	0.205018
0.214876	0.334133
0.101372	0.158647
0.172148	0.342574
0.160060	0.218481
0.206713	0.332808
0.210404	0.359791
0.176058	0.808985
0.117065	0.285638
0.166944	0.192820
0.184104	0.320340
0.134925	0.436481
0.226649	0.349039
0.150800	0.168896
0.234222	0.274040
0.175923	0.175043
0.090434	0.097669
0.189685	0.395493
0.224300	0.352151
0.155660	0.202358
0.146996	0.227844
0.131696	0.187009
0.206704	0.212905
0.413381	1.996632
0.185164	0.250898
0.253993	0.364480
0.128130	0.262667
0.088759	0.142901
0.223574	2.375469
0.088099	0.082813
0.143454	0.257500
0.068894	0.106442
0.088893	0.209788
0.108058	0.224221
0.209379	0.485759
0.100340	0.157031
0.234965	1.309931
0.050196	0.081819
0.098317	0.285611
0.123566	0.163725
0.169910	0.440066
0.140931	0.256495
0.146810	0.307568
0.090593	0.267250
0.181600	1.135003
0.131101	0.275967
0.134301	0.227641
0.084247	0.204721
0.097479	0.147680
0.084389	0.259919
0.074417	0.210971
0.108295	0.188974
0.227665	0.293688
0.150748	0.155271
0.152890	0.214811
0.351843	1.018586
0.204938	0.510295
0.423049	1.783151
0.194973	0.188149
0.151749	0.198032
0.189846	0.233511
0.173983	0.303601
0.147042	0.403630
0.092402	0.183880
0.080406	0.144328
0.146704	0.399767
0.097750	0.130496
0.109418	0.401566
0.094229	0.201650
0.179128	0.241823
0.170349	0.632847
0.221577	0.999312
