Velocity(m/s)	Chord(mm)
0.309537	0.212033
0.245573	0.122786
0.504311	0.582479
0.304148	0.384747
0.407070	0.303267
0.871116	0.818849
0.555498	0.419401
0.681687	0.722589
0.478836	0.366310
0.331845	0.155967
0.736457	0.651764
0.479271	0.378624
0.839555	1.309705
0.606679	0.731048
0.575179	0.923162
0.602322	0.969739
0.230380	0.123254
0.264225	0.103048
0.361718	0.213414
0.424098	0.640388
0.440140	0.539172
0.450225	0.328664
0.426340	0.456184
0.280786	0.289210
0.257248	0.173642
0.395394	0.233283
0.390572	0.328080
0.340526	0.219639
0.320698	0.214868
0.499089	1.102987
0.201562	0.187453
0.247534	0.183175
0.205117	0.255371
0.376179	0.436368
0.335902	0.540803
0.267395	0.177818
0.161521	0.148599
0.204474	0.129841
0.225729	0.139952
0.518758	1.066048
0.128818	0.121733
0.209147	0.131762
0.186257	0.236547
0.637226	1.847956
0.508349	0.554101
0.254150	0.158844
0.533769	0.619172
0.279986	0.165192
0.493153	0.673154
0.598043	0.900055
0.482484	0.492134
0.439369	0.213094
0.352487	0.278465
0.488560	1.690417
0.206253	0.122721
0.307543	0.196827
0.659529	2.291864
0.591114	0.703426
0.334788	0.209243
0.378545	0.529963
0.446619	0.468949
0.346007	0.608973
0.247454	0.098982
0.487292	0.355723
0.374001	0.192610
0.566549	0.787503
0.332426	0.265941
0.305424	0.239758
0.316802	0.236018
0.213927	0.182908
0.332427	0.302508
0.227708	0.190136
0.438869	0.697801
0.345880	0.413327
0.340568	0.330351
0.350776	0.420931
0.286827	0.326983
0.266604	0.274602
0.294841	0.297790
0.301743	0.208203
0.695444	1.738609
0.274959	0.252962
0.357085	0.283883
0.212464	0.143413
0.303062	0.384889
0.284241	0.139278
0.568611	2.536004
0.714488	0.796654
0.393162	0.133675
0.786907	1.129212
0.490475	0.438975
0.633791	0.497526
0.350205	0.208372
0.517448	0.318231
0.539470	0.509799
0.473027	0.499044
0.602164	1.261534
0.435304	0.565895
0.552901	0.834880
0.234243	0.137032
0.376593	0.418018
0.428645	0.347203
0.271553	0.317717
0.236047	0.120384
0.235661	0.242731
0.261887	0.635075
0.301575	0.236737
0.399105	0.439015
0.458111	1.289584
0.230676	0.204148
0.269515	0.191356
0.418299	0.637906
0.187466	0.103106
0.326305	0.538403
0.314173	0.314173
0.490440	0.465918
0.215177	0.194736
0.306490	0.246724
0.352148	0.341584
0.374419	0.535420
0.295195	0.386705
0.415054	0.778227
0.367726	0.946895
0.414323	1.102100
0.261840	0.252676
0.308736	0.435318
0.335215	0.249735
0.210811	0.124379
0.304917	0.515310
0.236663	0.364461
0.225475	0.176998
0.254572	0.243116
0.282923	0.363556
0.209468	0.254503
0.133406	0.148748
0.193211	0.176788
0.273435	0.820305
0.133802	0.169929
0.128966	0.180552
0.228140	0.512174
0.177350	0.186217
0.258272	0.503630
0.299538	0.404376
0.437361	0.430801
0.519567	0.457219
0.544968	0.449599
0.358696	0.254674
0.617683	1.584358
0.574775	0.724217
0.368868	0.302472
0.529655	0.738869
0.400712	0.488868
0.432308	0.384754
0.472665	1.751223
0.399470	0.201732
0.437244	0.299512
0.356707	0.460153
0.530492	1.458853
0.469088	0.309598
0.292737	0.201988
0.544178	1.431188
0.384410	0.307528
0.420383	0.493950
0.397909	0.787860
0.335660	0.219857
0.514105	0.969087
0.476704	0.438568
0.467548	0.572746
0.266342	0.117191
0.308496	0.115686
0.409142	0.343679
0.588698	0.677003
0.368864	0.213941
0.376537	0.190151
0.143197	0.113125
0.333207	0.388187
0.312289	0.202988
0.253389	0.190042
0.498502	0.438682
0.232097	0.105604
0.282508	0.275445
0.422208	0.392654
0.505484	1.129757
0.367983	0.305426
0.590803	0.478550
0.491069	0.451783
0.592693	0.945345
0.617665	1.062384
0.381685	0.146949
0.710810	0.433594
0.607933	0.738639
0.589209	0.159087
0.610706	0.442762
0.621959	0.883182
0.300789	0.154906
0.347375	0.324795
0.291665	0.118124
0.569953	1.333690
0.494962	0.415768
0.754643	1.392317
0.520214	0.322533
0.257746	0.153359
0.317708	0.190625
0.568940	1.186240
0.337676	0.162085
0.370763	0.226165
0.439722	0.441921
0.646881	1.542811
0.334879	0.381762
0.699404	1.276412
0.650303	0.773860
0.325865	0.114053
0.268078	0.127337
0.392447	0.529803
0.594623	0.517322
0.419078	0.513371
0.256899	0.259468
0.427263	0.591759
0.314725	0.374522
0.446359	0.497690
0.436782	0.631150
0.381195	0.480306
0.429339	0.356352
0.319150	0.319150
0.428680	1.060983
0.372364	0.364917
0.310802	0.466203
0.401768	0.397750
0.220315	0.187267
0.333711	0.203564
0.392447	0.898705
0.435154	0.663611
0.329211	0.213987
0.355687	0.231197
0.339198	0.783547
0.363040	0.216009
0.367961	0.608976
0.315148	0.696478
0.229285	0.222407
0.134891	0.202336
0.187125	0.115082
