Velocity(m/s)	Chord(mm)
0.374902	0.487373
0.319016	0.314231
0.315324	0.126130
0.307362	0.149071
0.318267	0.210056
0.074784	0.131995
0.186902	0.540148
0.090105	0.157233
0.100003	0.228008
0.146769	0.339035
0.080023	0.174451
0.126177	0.701547
0.083588	0.217747
0.092335	0.164356
0.115136	0.193429
0.082102	0.151889
0.261378	1.091251
0.095348	0.197847
0.088987	0.184649
0.094278	0.215896
0.111189	0.250732
0.125945	0.240554
0.210924	0.677067
0.218353	1.406193
0.123124	0.196998
0.059337	0.097610
0.071086	0.124756
0.157727	0.604881
0.116209	0.239971
0.107026	0.382084
0.088401	0.254153
0.082333	0.151082
0.081946	0.159794
0.089566	0.331843
0.166664	0.851654
0.115846	0.170873
0.052475	0.093931
0.090436	0.145150
0.100462	0.247638
0.076223	0.127673
0.277964	1.778973
0.096039	0.207445
0.094457	0.199304
0.076283	0.139216
0.100275	0.275756
0.092894	0.166280
0.140006	0.263212
0.086995	0.182254
0.087001	0.215763
0.135178	0.414995
0.081840	0.249204
0.155735	0.431386
0.126448	0.343938
0.101066	0.271363
0.221742	0.740619
0.078381	0.106599
0.060369	0.125265
0.084189	0.162485
0.120823	0.310514
0.128766	0.424927
0.202779	0.629630
0.076266	0.095713
0.075003	0.104253
0.118155	0.303066
0.097046	0.231940
0.090922	0.147748
0.077738	0.173743
0.099335	0.238901
0.072558	0.106660
0.084281	0.116729
0.091850	0.124456
0.092250	0.138375
0.093392	0.160167
0.145579	0.732989
0.086904	0.172071
0.090143	0.195610
0.102061	0.225044
0.097235	0.350531
0.072785	0.146298
0.149132	0.433228
0.159725	0.556640
0.072903	0.156377
0.068944	0.105830
0.116787	0.395322
0.138700	0.325252
0.124383	0.376260
0.098307	0.193664
0.102651	0.163215
0.139135	0.150266
0.107387	0.178262
0.146026	0.286941
0.102637	0.117519
0.130422	0.275191
0.117521	0.247969
0.129870	0.159091
0.086661	0.159889
0.084183	0.111121
0.115841	0.191717
0.133832	0.321865
0.156242	0.174209
0.097773	0.191146
0.109795	0.284369
0.074394	0.103407
