Velocity(m/s)	Chord(mm)
0.105647	0.297397
0.110956	0.180859
0.196954	0.170365
0.212668	0.450857
0.218779	0.230812
0.157846	0.216249
0.138099	0.156742
0.300501	0.359099
0.213371	0.177098
0.140992	0.250261
0.235120	0.654810
0.207787	1.016077
0.148429	0.143234
0.217937	0.226654
0.224423	0.934724
0.186996	0.715259
0.132743	0.116814
0.127555	0.313146
0.141971	0.337180
0.205110	0.744550
0.079868	0.110617
0.255063	0.919501
0.126196	0.221474
0.275956	0.913414
0.153389	0.509253
0.115880	0.157017
0.220877	0.195476
0.149979	0.176976
0.317425	1.620455
0.132394	0.128422
0.207265	0.144049
0.373768	0.491505
0.237773	0.656253
0.182075	0.183896
0.299421	0.742565
0.358189	0.605339
0.159388	0.118744
0.367924	1.131366
0.243508	0.244725
0.138607	0.160784
0.242019	0.188775
0.258645	0.548326
0.309294	1.209339
0.212743	0.151047
0.233147	0.235478
0.247404	0.278330
0.443438	2.576374
0.431369	0.839014
0.174623	0.176369
0.314342	0.526523
0.435129	0.757125
0.276935	0.220163
0.272139	0.212269
0.381987	0.276940
0.439347	0.397609
0.336269	0.364852
0.382762	0.279416
0.254767	0.319732
0.214356	0.095389
0.275035	0.390550
0.352937	0.423524
0.406162	0.727031
0.280080	0.270277
0.237739	0.166417
0.292029	0.191279
0.334568	0.411518
0.190052	0.132086
0.204299	0.279890
0.237442	0.197077
0.364803	0.943017
0.335664	0.973426
0.159027	0.236951
0.252905	0.991388
0.097545	0.088278
0.183104	0.214232
0.243640	0.420279
0.272694	0.503120
0.343548	1.734917
0.282096	2.186244
0.157248	0.187911
0.231087	1.155436
0.186453	0.227473
0.209156	0.300139
0.239421	0.474053
0.201162	0.274586
0.263822	0.656917
0.193222	0.136222
0.174550	0.134404
0.131477	0.168290
0.119540	0.196045
0.205301	0.284341
0.214222	0.529128
0.193656	0.641970
0.257862	0.731039
0.269295	0.841546
0.257722	0.552814
0.241574	0.601520
0.227377	0.213735
0.195285	0.114241
0.221626	0.182841
0.181834	0.437310
0.348375	0.268249
0.311327	0.901293
0.254193	0.346974
0.242087	0.496278
0.283478	1.285574
0.105836	0.125415
0.129040	0.513580
0.138494	0.338618
0.186120	0.930598
0.224300	0.151402
0.214089	0.233357
0.229546	0.323660
0.142570	0.185341
0.211407	0.332966
0.281271	0.300960
0.302031	0.407741
0.403441	0.895639
0.277205	0.557181
0.304622	0.520904
0.346718	0.514877
0.471108	0.739640
0.384142	0.701060
0.354374	0.237431
0.299460	0.500098
0.311219	0.266093
0.222593	0.478575
0.125085	0.267682
0.122697	0.440481
0.168106	0.395050
0.126933	0.331294
0.241392	1.342140
0.162563	0.672198
0.124488	0.228435
0.138454	0.191758
0.167728	0.426030
0.187210	1.332935
0.228935	1.168711
0.129452	0.158579
0.128620	0.290039
0.134628	0.230887
0.159348	0.330648
0.273972	0.989038
0.150818	0.333307
0.125746	0.250234
0.139173	0.368113
0.081083	0.233925
0.129360	0.252253
0.170904	0.196539
0.184781	0.185705
0.205765	0.370377
0.148026	0.141365
0.199383	0.193401
0.293699	0.650543
0.260185	0.515166
0.260256	0.828915
0.246917	0.312350
0.204625	0.214856
0.241859	0.833205
0.219168	0.208209
0.141197	0.121430
0.155588	0.192151
0.111980	0.115340
0.264239	0.887844
0.193897	0.379069
0.149863	0.154359
0.160001	0.311202
0.246480	1.244724
0.089042	0.140241
0.333742	1.398380
0.136379	0.184112
0.162156	0.394850
0.236679	1.927752
0.281051	1.298456
0.212050	0.917118
0.152062	0.186276
0.215726	0.406643
0.124360	0.197111
0.257499	1.793479
0.280745	1.558132
0.169961	0.154664
0.293414	0.623505
0.297999	0.809068
0.256684	0.428662
0.201249	0.172068
0.245255	1.160058
0.190774	0.676293
0.183146	0.192303
0.196807	0.243057
0.192416	1.181435
0.200295	0.200295
0.269708	1.073437
0.209536	0.697754
0.209881	0.745076
0.213375	0.196305
0.247894	0.556521
0.188570	0.347912
0.102616	0.118521
0.154200	0.356202
0.225644	0.627289
0.159173	0.315163
0.175732	0.255690
0.120682	0.308946
0.068564	0.141585
0.150544	0.401952
0.191093	0.274218
0.305643	1.257720
0.174563	0.640648
0.197249	0.322502
0.129764	0.293916
0.182611	0.290352
0.138890	0.334030
0.220803	0.299188
0.195958	0.292957
0.221624	0.807818
0.258441	0.577615
0.353600	1.278263
0.266243	0.431313
0.131814	0.207607
0.232146	0.742868
0.181256	0.241976
0.235904	0.422268
0.227449	0.324114
0.103163	0.153197
0.235471	0.274324
0.158556	0.167276
0.152518	0.154043
0.125604	0.115556
0.340948	2.086601
0.135680	0.126183
0.201722	0.262238
0.139983	0.115486
0.172121	0.330472
0.164290	0.335972
0.238696	0.250631
0.285387	0.830476
0.265607	1.585672
0.141143	0.161609
0.141025	0.196730
0.162280	0.928240
0.205421	0.935691
0.107450	0.235852
0.173727	0.388279
0.178248	1.403700
0.117709	0.263080
0.160117	0.356260
0.231278	0.995654
0.144741	0.437842
0.054070	0.137607
0.161552	0.986275
0.081578	0.143170
0.088996	0.129489
0.088096	0.213633
0.098609	0.275612
0.272331	2.032950
0.148271	0.148271
0.122046	0.333184
0.171185	0.347505
0.192324	0.348106
0.231856	0.674702
0.136150	0.260728
0.265576	0.467414
0.355373	1.028804
0.299534	0.549644
0.301543	0.310589
0.269148	0.480429
0.249845	0.278577
0.242224	0.409359
0.242337	0.232644
0.310232	0.727493
0.248645	0.583071
0.289510	0.854056
0.311092	0.591076
0.182267	0.121207
