Velocity(m/s)	Chord(mm)
0.117589	0.266340
0.096705	0.246115
0.305834	0.214084
0.325861	0.661499
0.194105	0.230014
0.207315	0.183474
0.231974	0.299247
0.261530	0.626365
0.237687	0.380299
0.293886	0.603936
0.169990	0.145341
0.255826	0.296758
0.229278	0.200619
0.226886	0.790698
0.206667	0.331700
0.218612	0.683163
0.156597	0.371918
0.208911	0.571372
0.160331	0.358339
0.241681	0.905096
0.302575	0.705001
0.158388	0.277970
0.138226	0.338654
0.191462	0.197206
0.211859	0.551892
0.145752	0.262353
0.173375	0.310341
0.202062	0.402104
0.238654	1.807803
0.321805	2.358829
0.079189	0.146104
0.098086	0.205490
0.137077	0.229604
0.125321	1.226263
0.099223	0.176618
0.129182	0.742799
0.224066	0.505268
0.211975	0.413351
0.104280	0.221073
0.112287	0.172361
0.227815	0.463604
0.088287	0.161123
0.166171	0.898156
0.139283	0.265335
0.127340	0.294154
0.213302	1.553905
0.170291	1.643313
0.170258	0.332003
0.130968	0.249495
0.141874	0.700859
0.067969	0.289207
0.131484	0.245218
0.238637	1.338756
0.128490	0.292314
0.184034	1.002983
0.249686	1.690376
0.161888	1.522556
0.075001	0.142127
0.066424	0.233812
0.089621	0.265725
0.086619	0.480735
0.114333	0.584813
0.105175	0.535343
0.039665	0.251278
0.100110	0.146662
0.125600	0.174584
0.105895	0.334630
0.105047	0.714843
0.042780	0.138608
0.129159	1.106896
0.071858	0.161320
0.099832	0.349411
0.159880	1.317410
0.099720	0.162544
0.130893	1.009840
0.095443	0.477692
0.081471	0.147462
0.063836	0.166294
0.079821	0.108158
0.117140	0.450988
0.067784	0.102693
0.171426	0.376281
0.119751	0.387393
0.063943	0.151225
0.075493	0.356326
0.062762	0.228767
0.130720	0.445103
0.064832	0.392235
0.092970	0.671711
0.073278	0.270763
0.119949	1.168306
0.073672	0.168708
0.088428	0.356809
0.147969	0.390637
0.217869	0.872565
0.120804	0.211408
0.193057	0.855241
0.090590	0.393612
0.177317	0.262429
0.185594	0.259832
0.170930	0.294000
0.188477	0.276119
0.268281	0.929595
0.252279	1.150393
0.213453	0.407695
0.194981	0.370464
0.133928	0.184821
0.255700	1.201792
0.307005	0.366870
0.102234	0.180443
0.154034	0.251076
0.263974	1.223520
0.154257	0.468942
0.142364	1.649292
0.167175	0.972957
0.087970	0.089290
0.176902	0.277736
0.268301	0.466843
0.166602	0.206587
0.121307	0.183779
0.173907	0.169559
0.120768	0.271124
0.168372	0.177633
0.113173	0.233703
0.244681	1.120639
0.180933	0.490329
0.118786	0.163925
0.156942	0.277788
0.095493	0.160906
0.206341	1.432010
0.154979	0.588144
0.120657	0.227438
0.239302	1.557856
0.117927	0.340219
0.087035	0.191478
0.135130	1.106036
0.116053	0.248935
0.171765	0.917227
0.101854	1.149932
0.078442	0.152177
0.118619	0.219445
0.196332	0.611575
0.196584	2.245967
0.143484	0.152093
0.210760	0.573266
0.194804	0.200648
0.214068	0.705353
0.222467	0.522798
0.156166	0.134303
0.157816	0.164128
0.278554	0.467971
0.246108	1.038577
0.193866	1.562564
0.192405	0.588759
0.103009	0.219925
0.143031	0.292498
0.140878	0.369804
0.220946	1.017457
0.114784	0.147498
0.185453	0.997738
0.140744	0.474308
0.101814	0.175120
0.125971	0.249422
0.208333	0.479167
0.188711	0.537828
0.215199	1.036185
0.233778	0.419631
0.159942	0.367866
0.260623	0.354448
0.195653	0.299350
0.125502	0.198920
0.144783	0.152746
0.170621	0.304558
0.256114	0.562171
0.216772	0.269881
0.240095	0.572627
0.181825	0.119096
0.238063	0.772514
0.312793	0.240850
0.315860	0.290591
0.147141	0.139048
0.323783	1.178571
0.299111	0.240784
0.434810	0.317412
0.473916	0.971528
0.256999	0.224874
0.458676	1.043487
0.447592	0.751955
0.448617	1.036305
0.328139	0.377360
0.330945	0.486490
0.378245	0.769729
0.257579	0.260155
0.252747	0.147857
0.252675	0.291839
0.491251	0.918639
0.424101	0.769743
0.515778	1.797486
0.486364	1.191592
0.357794	0.397152
0.412126	1.063284
0.237448	0.197081
0.274708	0.204658
0.289772	0.392641
0.295300	0.345501
0.227382	0.238751
0.424873	0.494977
0.324067	0.348372
0.237505	0.149628
0.465359	0.947005
0.447051	0.471638
0.415379	1.460057
0.289046	0.297717
0.205541	0.212735
0.262236	0.300260
0.283635	1.272104
0.318068	0.464380
0.396268	0.455708
0.218920	0.170757
0.153492	0.151190
0.201445	0.179286
0.343903	0.343903
0.231754	0.176133
0.350171	0.491991
0.191701	0.145693
0.339588	1.044234
0.229217	0.228071
0.323754	1.278827
0.140943	0.175475
0.161479	0.171168
0.167760	0.276804
0.215044	0.174185
0.169591	0.503684
0.246053	0.483495
0.206658	0.874162
0.247502	0.393528
0.229933	0.342600
0.176191	0.175310
0.280152	0.613533
0.162450	0.348456
0.183899	0.168268
0.279204	0.470459
0.341238	1.257461
0.184389	0.248003
0.176106	0.180508
0.204598	0.304851
0.266675	0.749356
0.291539	0.860041
0.219535	0.381991
0.234145	0.282145
0.165579	0.313773
0.181952	1.057142
0.250932	0.239640
0.233413	1.009513
0.140719	0.118907
0.229023	0.342389
0.313731	1.201590
0.412916	1.149970
0.379392	1.312696
0.288074	0.921836
0.120585	0.097071
0.463132	1.083729
0.276778	0.440077
0.232891	0.146721
0.283660	0.187215
0.376351	0.445976
0.368522	0.180576
0.269634	0.198181
0.388792	0.960316
0.298453	0.383513
0.296041	0.307883
0.407040	0.614631
0.430515	0.684519
0.485797	0.796707
0.378166	0.147485
0.374456	1.173920
0.335092	0.279801
0.287818	0.689325
0.235208	0.118780
0.353958	1.010550
0.142370	0.106777
0.318927	0.428957
0.442517	0.420391
0.491724	0.172104
0.454313	0.919984
0.449834	0.654508
0.276283	0.211356
0.374975	0.286856
0.217935	0.189603
0.375043	0.380668
0.322202	1.077766
0.340695	0.408835
0.345975	0.449768
0.257115	0.422955
0.180295	0.118093
0.325124	0.715274
0.211011	0.244772
0.346804	2.223016
0.326624	0.929246
0.233389	0.180877
0.295203	0.349816
0.186723	0.146578
0.299747	0.464607
0.212299	0.300403
0.287625	0.327893
0.212916	0.130944
0.264564	0.588655
0.166633	0.205792
0.173121	0.179181
0.244429	0.359311
0.151068	0.155600
0.182237	0.197727
0.159722	0.137361
0.143297	0.181270
0.097640	0.261676
0.105227	0.300949
0.059948	0.100113
0.127445	0.562033
0.048216	0.119576
0.053051	0.152256
0.092076	0.151465
0.096638	0.285081
0.126265	1.038533
0.104985	0.394744
0.073091	0.136315
0.088524	0.133672
0.113403	0.213765
0.118492	0.230467
0.118256	0.207540
0.134703	0.269406
0.156004	0.514814
0.108803	0.195301
0.140975	0.152253
0.220174	0.633001
0.130899	0.320702
0.249615	2.234057
0.142253	0.287351
0.154175	0.807108
0.232416	0.984280
0.148917	0.366337
0.138911	0.362556
0.135256	0.307707
0.171098	0.473085
0.119362	0.229773
0.100619	0.139861
0.123624	0.365309
0.132109	0.422748
0.114727	0.340739
0.201904	0.614798
0.106314	0.557084
0.234962	0.341870
0.206613	0.232440
0.139861	0.181120
0.217147	0.675328
0.231371	0.386389
0.123286	0.205888
0.113527	0.332066
0.149752	0.189436
0.135498	0.155823
0.173827	0.286815
0.163660	0.234034
0.150632	0.393149
