Velocity(m/s)	Chord(mm)
0.270240	1.401195
0.208094	0.293413
0.192510	0.487051
0.139995	0.177094
0.285771	0.805874
0.280605	0.512103
0.247969	1.289439
0.122758	0.188433
0.245601	0.477693
0.310760	1.311409
0.186202	0.208546
0.235820	0.739294
0.134715	0.134715
0.233699	1.254966
0.151850	0.591457
0.182802	0.913098
0.258735	1.053051
0.200659	0.571878
0.159084	0.392142
0.073813	0.171247
0.172866	0.242012
0.112401	0.259647
0.083712	0.111755
0.094400	0.302553
0.076087	0.246142
0.113097	0.451824
0.074246	0.190070
0.179585	0.568385
0.092156	0.270938
0.141180	0.458130
0.163756	0.445417
0.088365	0.190869
0.112258	1.182081
0.096374	0.189375
0.127192	0.879535
0.079828	0.094596
0.201384	0.843797
0.260914	0.821878
0.156036	0.564849
0.203007	0.289284
0.141532	0.539946
0.082604	0.192467
0.172232	0.973972
0.062125	0.321805
0.141419	0.725482
0.096773	0.253546
0.140723	0.739499
0.130712	0.392137
0.105865	0.161444
0.094383	0.193014
0.118315	0.353172
0.124930	0.346681
0.084982	0.248996
0.133627	0.330060
0.062928	0.100370
0.164187	1.066397
0.135768	0.188038
0.100245	0.114280
0.229070	1.368694
0.212373	1.609784
0.210719	1.034632
0.115170	0.198668
0.234147	0.533856
0.176750	0.681370
0.082501	0.120039
0.192689	0.367073
0.125360	0.274538
0.145985	0.444526
0.163615	0.590651
0.182548	0.901786
0.086008	0.145784
0.155702	0.619692
0.147924	1.115349
0.181062	0.254392
0.184199	2.076839
0.227013	0.606123
0.220570	0.927497
0.103317	0.157559
0.195156	0.623525
0.188396	0.578375
0.237372	0.643277
0.144694	0.485449
0.037486	0.162128
0.134474	0.279034
0.133696	0.296137
0.194708	1.133198
0.084506	0.129294
0.161894	0.507536
0.122784	0.253549
0.097519	0.132626
0.079864	0.158929
0.129074	0.361407
0.129205	0.245490
0.099875	0.161797
0.087198	0.114230
0.192472	0.652480
0.202528	0.629862
0.234698	2.434993
0.211295	0.479640
0.130520	0.129867
0.182429	0.392222
0.105009	0.147012
0.225326	0.426992
0.156913	0.164758
0.304510	0.669923
0.373903	0.615071
0.180904	0.294873
0.272177	1.177166
0.282166	0.582672
0.247316	0.541623
0.183071	0.281929
0.167516	0.251274
0.163140	0.314861
0.175212	0.252305
0.143211	0.222693
0.265258	0.452265
0.225661	0.435526
0.139294	0.195708
0.262168	0.717030
0.201976	0.737213
0.150387	0.185728
0.198384	0.768737
0.282729	0.527290
0.228259	0.575212
0.154355	0.294046
0.244278	1.302004
0.226833	1.480084
0.234446	0.731471
0.104630	0.175778
